"","tax","income","csp","age","educ","marital","race","sex","ss"
"1",0,6300,0,45,"34","5","1","2",0
"2",0,35000,0,63,"36","5","1","1",12000
"3",273,26502,0,48,"43","5","1","2",0
"4",0,28000,0,26,"39","7","1","1",0
"5",0,9568,0,38,"32","7","1","1",0
"6",0,21666,0,34,"39","6","1","2",0
"7",0,20800,0,37,"37","7","1","2",0
"8",393,42300,0,35,"40","2","1","2",0
"9",0,8340,0,42,"34","6","1","2",0
"10",0,63660,0,25,"42","7","1","2",0
"11",0,13956,0,22,"43","7","1","1",0
"12",6000,84000,0,45,"41","1","1","1",0
"13",0,48752,0,23,"39","1","1","1",0
"14",0,32000,0,43,"31","1","1","2",0
"15",50,20800,0,29,"35","1","2","1",0
"16",380,7300,0,60,"31","1","1","1",0
"17",0,36100,0,40,"35","1","1","1",0
"18",962,69768,0,67,"42","1","1","1",0
"19",0,2590,0,35,"34","7","2","2",0
"20",1000,79738,0,51,"44","1","1","1",0
"21",0,11000,0,28,"37","1","2","1",0
"22",1697,115090,0,31,"44","7","2","2",0
"23",0,105000,0,52,"39","1","1","1",0
"24",0,17000,0,25,"39","1","1","1",0
"25",0,112004,0,29,"39","7","1","1",0
"26",4000,34852,0,73,"34","1","1","1",13746
"27",0,20000,0,26,"39","1","1","1",0
"28",1200,25000,0,21,"40","7","1","2",0
"29",0,42000,0,30,"40","1","1","1",0
"30",1336,29000,0,18,"37","7","1","1",0
"31",0,22200,4200,27,"40","7","2","2",0
"32",900,81037,0,46,"41","1","1","1",0
"33",0,3000,0,62,"39","5","1","2",0
"34",984,38292,0,60,"39","1","1","1",0
"35",0,24791,0,30,"43","1","1","1",0
"37",2106,64200,0,35,"40","1","1","1",0
"38",0,39800,0,32,"35","1","1","2",0
"39",1079,40192,0,44,"43","5","1","2",0
"40",0,29105,0,25,"43","7","1","1",0
"41",164,25000,0,37,"39","1","2","1",0
"42",0,16000,0,22,"39","7","1","1",0
"43",9363,104090,0,45,"44","1","1","1",0
"44",0,67350,0,28,"42","1","1","1",0
"45",0,26000,0,23,"39","7","1","2",0
"46",1050,30160,0,43,"34","1","1","2",0
"47",45,31600,0,36,"39","1","1","1",0
"48",1000,41456,0,50,"43","1","1","2",0
"49",1160,23092,0,67,"41","1","1","1",8670
"50",980,91719,0,48,"42","1","1","2",0
"51",0,21200,0,27,"33","7","1","1",0
"52",2000,58900,0,38,"39","1","1","2",0
"53",0,15600,0,26,"33","1","1","1",0
"54",199,15312,0,29,"36","7","1","2",0
"55",280,7908,0,59,"34","4","1","2",6588
"56",0,21646,0,57,"36","1","1","1",16146
"57",0,45130,0,23,"39","1","1","2",0
"58",380,7195,0,26,"39","1","1","2",0
"59",0,18000,0,30,"41","7","2","2",0
"61",0,7000,0,37,"36","7","1","1",0
"62",20,22000,0,22,"39","7","1","2",0
"63",0,4560,0,41,"37","7","2","1",0
"64",1100,29425,4420,34,"40","1","1","2",0
"65",0,29003,0,29,"41","5","1","1",0
"66",0,45000,0,25,"38","7","1","1",0
"67",0,33400,2400,43,"40","5","1","2",0
"68",4500,73225,0,40,"42","1","1","1",0
"69",2825,17292,0,75,"36","5","1","1",7716
"70",575,21088,0,82,"40","4","1","2",9852
"71",0,10965,0,88,"34","4","1","2",10230
"72",0,7166,0,68,"42","5","1","2",3786
"73",0,13528,0,80,"36","4","1","2",12354
"74",0,16512,0,49,"40","5","1","1",0
"75",80,30841,0,73,"39","1","1","1",10782
"76",140,17106,0,61,"36","1","1","1",0
"77",600,71000,0,34,"37","1","2","2",0
"78",1100,29060,3120,43,"40","6","1","2",0
"79",0,42300,0,27,"40","7","2","2",0
"80",0,28280,0,19,"40","7","1","1",0
"81",0,17912,0,18,"40","7","1","1",0
"82",3600,52770,0,44,"44","1","1","2",0
"83",0,3348,0,22,"37","7","2","2",0
"84",757,59070,0,49,"39","1","1","2",0
"85",2305,51550,0,40,"37","1","1","1",0
"86",315,76000,0,37,"43","1","1","1",0
"87",2500,54927,0,58,"36","1","1","1",0
"88",1000,79667,0,46,"43","1","1","1",0
"89",0,58408,0,34,"43","1","1","1",0
"90",1500,53126,0,56,"39","1","1","1",0
"91",487,45572,0,67,"43","1","1","1",11546
"92",500,88754,0,71,"39","1","1","1",11346
"93",4200,79908,0,42,"44","1","1","2",0
"94",1700,44135,0,51,"43","7","1","2",0
"95",0,53014,6000,41,"39","5","1","2",0
"96",1600,90834,0,29,"43","7","1","1",0
"97",2000,113000,0,48,"44","5","1","1",0
"98",3500,55000,0,43,"40","7","1","2",0
"99",0,50814,0,47,"39","1","1","1",0
"100",5009,102150,0,68,"43","4","1","2",10146
"101",2840,25634,0,66,"39","1","1","1",7692
"102",3200,37395,0,53,"40","5","1","2",0
"103",0,70050,0,48,"41","1","1","2",0
"104",0,7434,0,45,"39","7","1","2",6390
"105",0,7904,0,52,"34","5","3","2",0
"106",1800,34207,0,30,"39","1","1","2",0
"107",800,14317,0,86,"39","4","1","2",11346
"108",1954,20950,0,69,"39","1","1","2",10800
"109",0,63400,0,35,"44","1","1","1",0
"110",474,26317,0,59,"42","7","1","2",0
"111",0,72006,0,23,"43","1","1","1",0
"112",594,21815,0,76,"36","1","1","1",9510
"113",0,34914,0,62,"39","1","1","1",0
"114",450,42176,0,73,"39","1","1","1",15360
"115",1800,104500,0,51,"44","1","1","1",0
"116",0,14261,0,46,"39","6","2","2",0
"117",0,34781,0,25,"43","7","1","2",0
"118",660,102300,0,34,"43","5","1","1",0
"119",0,9484,0,44,"39","5","1","2",0
"120",565,40168,0,45,"40","1","1","1",0
"121",0,58000,0,61,"40","3","1","1",0
"122",80,10176,0,71,"34","7","1","1",7476
"123",471,15278,0,70,"43","4","1","1",10794
"124",0,57000,0,37,"43","7","1","1",0
"125",1463,282577,0,46,"44","1","1","1",0
"126",380,83550,0,36,"43","1","1","1",0
"127",980,105161,0,48,"43","1","1","1",0
"128",600,38000,0,51,"39","1","2","1",0
"129",0,48000,0,40,"39","1","1","2",0
"132",0,6930,0,58,"35","5","1","2",3642
"133",937,6846,0,70,"34","4","2","2",5874
"134",330,35000,0,44,"40","1","1","1",0
"135",645,71405,10400,46,"43","5","1","2",0
"136",1100,161513,0,66,"40","5","1","2",9568
"138",0,7470,0,30,"37","7","1","1",5682
"139",638,54252,0,58,"40","1","1","1",0
"140",1223,42938,0,57,"39","1","1","2",0
