"tax","csp","age","sex","ss","income","race","marital","educ"
"0","0","(30-45]","2","0","(1-153749.2]","2","6","39"
"(1-33333]","0","(75-90]","1","(7-16671.3333333333]","(1-153749.2]","1","4","39"
"(1-33333]","0","(30-45]","1","0","(1-153749.2]","1","1","43"
"0","0","(15-30]","1","0","(1-153749.2]","1","1","44"
"(1-33333]","0","(60-75]","1","(7-16671.3333333333]","(1-153749.2]","1","1","32"
"0","0","(15-30]","1","0","(1-153749.2]","1","7","42"
"(1-33333]","0","(45-60]","1","0","(153749.2-307497.4]","1","1","45"
"(1-33333]","0","(45-60]","1","0","(1-153749.2]","1","1","40"
"0","0","(15-30]","1","0","(153749.2-307497.4]","1","1","39"
"(1-33333]","0","(30-45]","1","(7-16671.3333333333]","(1-153749.2]","1","1","43"
"(1-33333]","0","(30-45]","1","0","(1-153749.2]","1","1","43"
"0","0","(30-45]","1","0","(1-153749.2]","1","5","39"
"(1-33333]","0","(75-90]","2","(7-16671.3333333333]","(1-153749.2]","1","1","34"
"0","0","(45-60]","2","0","(1-153749.2]","1","1","38"
"(1-33333]","0","(60-75]","2","0","(1-153749.2]","1","1","39"
"(1-33333]","0","(75-90]","2","(16671.3333333333-33335.6666666667]","(1-153749.2]","2","4","40"
"(1-33333]","0","(75-90]","1","(7-16671.3333333333]","(1-153749.2]","1","7","39"
"(1-33333]","0","(30-45]","2","0","(1-153749.2]","1","1","37"
"(1-33333]","0","(45-60]","1","0","(1-153749.2]","1","1","44"
"(1-33333]","0","(15-30]","2","0","(1-153749.2]","1","1","40"
"0","0","(30-45]","2","0","(1-153749.2]","2","1","40"
"(1-33333]","0","(45-60]","1","0","(1-153749.2]","4","1","43"
"(1-33333]","0","(30-45]","1","0","(1-153749.2]","1","1","44"
"(1-33333]","0","(30-45]","2","0","(1-153749.2]","4","1","44"
"0","0","(15-30]","1","0","(1-153749.2]","3","7","35"
"(1-33333]","0","(45-60]","1","0","(153749.2-307497.4]","1","1","40"
"(1-33333]","0","(75-90]","1","(16671.3333333333-33335.6666666667]","(1-153749.2]","1","1","34"
"(1-33333]","0","(45-60]","2","0","(1-153749.2]","1","1","39"
"(1-33333]","0","(30-45]","2","0","(1-153749.2]","1","7","44"
"0","(1-23917]","(30-45]","2","0","(153749.2-307497.4]","1","1","43"
"(1-33333]","0","(45-60]","2","0","(1-153749.2]","1","7","40"
"(1-33333]","0","(60-75]","2","0","(1-153749.2]","1","1","44"
"(1-33333]","0","(45-60]","1","0","(153749.2-307497.4]","1","1","40"
"(1-33333]","0","(45-60]","2","0","(1-153749.2]","1","5","43"
"(1-33333]","0","(30-45]","2","0","(1-153749.2]","1","1","43"
"(1-33333]","0","(75-90]","1","(7-16671.3333333333]","(1-153749.2]","1","4","34"
"(1-33333]","0","(15-30]","1","0","(1-153749.2]","1","1","41"
"(1-33333]","0","(60-75]","1","(7-16671.3333333333]","(1-153749.2]","1","1","40"
"0","0","(15-30]","1","0","(1-153749.2]","3","7","39"
"0","0","(30-45]","2","0","(1-153749.2]","1","5","42"
"(1-33333]","0","(60-75]","1","(7-16671.3333333333]","(1-153749.2]","1","1","39"
"0","0","(30-45]","1","0","(1-153749.2]","1","1","40"
"(1-33333]","0","(15-30]","2","0","(1-153749.2]","2","1","39"
"(1-33333]","0","(45-60]","2","0","(1-153749.2]","2","7","39"
"0","0","(45-60]","2","0","(1-153749.2]","1","5","39"
"0","0","(45-60]","1","0","(1-153749.2]","1","1","39"
"0","0","(30-45]","1","0","(1-153749.2]","1","1","40"
"(1-33333]","0","(30-45]","1","0","(1-153749.2]","1","1","39"
"(1-33333]","0","(45-60]","1","0","(1-153749.2]","1","5","43"
"0","(1-23917]","(15-30]","2","0","(1-153749.2]","1","7","43"
"(1-33333]","0","(30-45]","2","0","(1-153749.2]","1","1","37"
