"age","workclass","fnlwgt","education","marital_status","occupation","relationship","race","sex","capital_gain","capital_loss","hours_per_week","native_country","income"
56,"4",179594,"15","2","9","0","4","1",0,0,51,"38",">50K"
22,"2",193586,"11","4","0","1","4","0",0,0,39,"38","<=50K"
44,"2",120277,"12","2","3","0","4","1",0,0,40,"38",">50K"
19,"2",138153,"15","4","11","3","4","0",0,0,35,"38","<=50K"
44,"1",357814,"2","2","12","5","4","0",0,0,38,"38","<=50K"
34,"2",84119,"7","0","2","1","4","1",0,0,45,"38","<=50K"
40,"1",233891,"12","0","9","4","4","0",1506,0,40,"38","<=50K"
27,"2",148069,"9","4","9","1","4","0",0,0,40,"38","<=50K"
21,"2",238917,"4","4","6","1","4","1",0,0,43,"25","<=50K"
44,"2",126199,"12","2","9","0","4","1",0,0,40,"38",">50K"
36,"2",173542,"9","4","3","1","4","1",7298,0,40,"38",">50K"
47,"0",55377,"11","2","0","0","4","1",0,0,43,"38",">50K"
38,"0",99527,"7","2","2","0","4","1",0,0,50,"38",">50K"
40,"2",199303,"14","2","9","0","4","1",15024,0,75,"38",">50K"
49,"2",215389,"8","0","2","1","4","1",0,0,20,"38","<=50K"
50,"1",154779,"11","0","0","4","4","0",0,0,44,"38","<=50K"
46,"2",318259,"3","2","8","2","2","0",0,0,40,"38","<=50K"
25,"4",60828,"11","2","3","5","4","0",0,0,50,"38","<=50K"
36,"2",206951,"11","2","11","0","4","1",0,0,40,"38",">50K"
54,"2",53407,"11","2","2","0","4","1",0,0,40,"38",">50K"
17,"2",231439,"1","4","5","3","4","1",0,0,25,"38","<=50K"
25,"1",77698,"9","4","9","1","4","0",0,0,40,"38","<=50K"
43,"0",233851,"11","0","0","3","2","0",0,0,40,"38","<=50K"
50,"2",201882,"7","2","2","0","4","1",0,0,40,"25","<=50K"
22,"2",82393,"15","4","7","3","4","1",0,0,20,"38","<=50K"
23,"1",442359,"15","3","9","4","2","0",0,0,40,"38","<=50K"
57,"1",132717,"9","4","9","3","4","1",0,0,35,"38","<=50K"
43,"4",99203,"9","2","3","0","4","1",0,0,65,"38",">50K"
40,"1",96554,"8","5","10","3","4","0",0,0,45,"38","<=50K"
21,"2",307315,"4","2","5","0","4","1",0,0,40,"25","<=50K"
29,"3",190450,"11","2","11","0","4","1",7688,0,50,"38",">50K"
25,"2",209227,"11","4","6","3","2","0",0,0,40,"38","<=50K"
47,"1",154033,"15","0","9","1","2","0",0,0,38,"38","<=50K"
21,"2",216672,"15","4","2","3","4","1",0,0,40,"38","<=50K"
27,"1",92431,"9","4","9","1","4","1",0,0,40,"38","<=50K"
35,"2",140474,"15","2","11","0","4","1",0,0,40,"38","<=50K"
42,"2",328239,"11","2","6","0","4","1",0,0,40,"38","<=50K"
