"tax","income","csp","age","educ","marital","race","sex","ss"
0,132916,0,56,"39","6","1","1",0
0,78228,0,42,"41","1","2","2",0
2531,64832,0,47,"41","1","1","1",0
1300,75946,0,53,"43","7","1","1",0
1750,53500,0,49,"43","1","1","1",0
0,35880,0,55,"42","5","1","2",0
1000,59862,0,54,"40","1","1","2",0
2100,62042,0,48,"40","1","1","1",0
550,78000,0,43,"39","1","1","1",0
0,30946,0,84,"35","4","1","1",11826
0,141808,0,79,"40","4","1","2",10134
525,10597,0,68,"40","5","2","1",10626
0,27500,0,50,"42","5","2","2",0
0,47320,5200,39,"42","5","1","2",0
0,38882,0,30,"40","5","3","1",0
0,39306,0,32,"38","1","1","1",0
1200,21157,0,33,"39","7","1","1",0
831,105370,0,88,"46","1","1","1",11346
533,47369,0,67,"40","1","1","1",15438
1600,65004,0,39,"39","1","1","1",0
600,90770,0,47,"41","1","1","2",0
435,30736,0,74,"35","1","1","1",9546
2100,45246,0,61,"39","5","1","1",0
2945,115292,0,44,"44","1","1","2",0
1117,104100,0,32,"43","1","1","1",0
315,29716,0,59,"40","5","1","1",3588
950,46000,0,28,"43","1","1","1",0
300,52071,0,29,"41","1","1","2",0
2200,77185,0,38,"40","1","1","2",0
0,25042,0,48,"39","5","1","2",0
3200,96214,0,54,"39","1","1","1",0
1872,60293,0,53,"40","1","1","1",0
1200,102020,0,59,"39","1","1","2",0
0,118000,0,71,"39","1","1","1",14346
98366,76000,0,40,"43","1","1","1",0
0,60040,0,24,"43","7","4","1",0
655,17958,0,49,"35","1","1","2",0
0,31500,0,75,"38","1","1","1",12546
0,9999,0,69,"39","5","1","2",4146
0,31301,0,25,"39","7","1","2",0
328,15304,0,63,"40","1","1","1",5184
0,12706,0,69,"36","1","1","1",8634
1520,94585,0,26,"43","7","1","1",0
0,3640,0,54,"39","5","2","2",0
417,39600,6500,39,"40","5","1","2",0
365,74686,0,33,"43","1","1","2",0
0,11198,0,22,"39","7","2","2",0
500,139046,0,71,"40","1","1","2",12882
0,39780,0,23,"40","7","1","2",0
2600,113118,0,58,"44","1","1","1",0
2592,8936,0,81,"39","4","1","2",9000
0,33000,0,51,"44","1","1","1",0
675,41540,0,35,"41","1","1","2",0
625,43016,0,47,"34","1","1","1",0
0,62958,0,53,"39","1","1","1",0
1505,98342,0,47,"43","1","1","1",0
90,21064,0,86,"43","4","1","2",9894
0,31200,0,22,"40","7","1","1",0
0,68000,0,32,"39","7","1","1",0
700,24580,0,40,"39","1","1","1",0
2600,58560,0,59,"43","4","3","2",0
2700,90500,0,68,"40","1","1","1",0
474,69894,0,37,"40","1","1","1",0
0,14769,0,46,"39","5","1","2",0
700,13000,0,51,"40","6","1","2",0
278,11729,0,89,"40","4","1","2",9306
1000,38536,0,76,"43","1","1","1",14718
734,65100,0,53,"41","1","1","1",0
0,25000,0,28,"35","1","1","1",0
0,47000,0,22,"39","1","1","1",0
0,33200,0,35,"39","1","1","1",0
800,78120,0,52,"44","1","1","1",0
900,18822,0,54,"40","5","1","2",6240
1357,52010,0,31,"39","1","1","1",0
0,20940,0,45,"33","1","1","2",0
6032,90600,0,44,"41","1","1","1",0
560,65250,0,43,"39","5","1","2",0
6860,51000,0,42,"39","1","1","2",11826
0,17212,0,39,"36","6","1","2",0
4312,24300,0,57,"40","1","1","1",14400
0,34297,594,31,"39","6","1","2",0
500,50000,0,22,"42","1","3","1",0
1750,38800,0,29,"41","1","1","1",0
5393,115596,0,44,"42","1","1","1",0
0,46556,0,26,"43","7","1","1",0
1300,45059,0,36,"39","1","1","2",0
0,3924,2080,22,"43","7","1","2",0
822,23089,0,47,"43","1","1","2",0
263,21804,0,76,"36","1","1","1",10146
0,52024,0,29,"40","6","1","1",0
300,31900,0,34,"33","1","1","2",0
6300,90157,0,41,"43","4","1","1",0
2551,65000,0,49,"40","1","1","2",0
80605,94552,0,51,"40","1","4","2",0
1140,63232,10660,45,"43","5","1","2",0
1200,18292,0,64,"42","1","1","1",10000
1,14302,0,75,"33","4","1","1",11058
1516,102001,0,46,"41","1","1","1",0
900,30200,0,69,"43","4","1","1",8355
563,33254,0,50,"39","1","1","2",0
1025,144127,0,39,"43","1","1","1",0
1222,36196,0,60,"40","1","4","1",0
7754,20300,0,77,"39","4","1","2",7938
2000,76162,0,52,"39","1","1","2",0
300,76003,0,68,"40","1","1","1",11346
80,25000,0,46,"39","1","4","1",0
0,45000,0,32,"40","5","1","1",0
742,50286,0,78,"45","1","1","1",11382
90,6108,0,53,"39","5","1","2",0
4200,20824,0,19,"40","7","1","1",0
308,52108,0,28,"39","5","1","1",0
2768,28746,0,62,"39","1","1","1",14946
575,6384,0,53,"40","5","1","2",0
168,96748,0,29,"43","1","1","1",0
650,54592,0,45,"39","1","2","2",0
2400,53280,0,29,"39","1","1","1",0
2031,165318,0,68,"46","1","1","1",14946
0,6792,0,29,"40","6","1","2",0
0,39004,0,27,"43","7","1","1",0
0,8860,0,80,"32","1","1","1",6354
462,43056,0,27,"40","5","1","1",0
6000,150400,0,63,"34","1","1","1",0
1114,29000,0,47,"43","5","1","2",0
1140,153314,0,26,"39","1","1","1",0
0,15094,0,81,"34","1","1","2",2946
1200,70000,0,52,"42","1","1","1",0
0,9750,0,72,"34","4","1","2",8946
0,17250,0,43,"35","6","1","1",0
1500,41000,0,34,"40","1","1","2",0
0,8844,0,20,"39","7","2","2",0
0,36568,0,22,"39","1","1","1",0
488,41250,0,62,"42","1","1","2",1516
0,25608,0,30,"34","1","1","1",0
500,87990,0,31,"39","1","1","2",0
285,28000,0,45,"39","5","1","1",0
150,50600,0,44,"43","1","1","1",0
3600,112474,0,54,"43","1","1","1",0
0,36000,0,45,"39","7","1","2",0
1400,66861,23917,40,"43","7","1","2",0
300,44158,0,47,"34","1","1","2",0
0,73037,0,24,"40","1","1","2",0
1000,38000,0,53,"39","1","1","1",0
780,93042,0,42,"40","1","1","1",0
1023,20500,0,61,"33","1","1","1",8946
1800,18000,0,64,"39","4","2","1",0
700,125200,0,50,"39","1","1","1",0
0,40150,0,25,"44","7","1","2",0
430,39028,0,27,"40","1","1","1",0
1620,62501,0,24,"39","7","1","1",0
1400,77808,0,48,"39","1","1","1",0
0,17800,0,30,"37","7","1","1",0
0,268395,1200,25,"43","7","1","2",0
600,51760,0,53,"43","1","1","1",0
1200,64000,0,49,"39","5","1","2",0
2045,27000,0,45,"39","1","4","1",0
637,31448,0,41,"40","1","1","1",0
0,18000,0,26,"39","1","1","1",0
0,32757,0,26,"43","7","1","2",0
100,23502,5568,33,"40","5","1","2",0
2000,10600,0,76,"39","4","1","2",8466
0,15005,0,56,"40","3","1","2",0
0,37000,0,34,"40","1","2","1",0
4000,77245,0,33,"43","1","4","1",0
0,18019,0,66,"39","5","2","2",10866
1000,50000,2704,37,"44","5","1","2",0
0,36055,0,56,"45","5","1","1",0
0,48000,0,46,"37","1","1","1",0
0,28094,2600,27,"40","6","1","2",0
1523,128460,0,52,"39","1","1","2",0
3653,65907,0,55,"43","1","1","1",0
2197,86808,0,38,"39","1","1","1",0
0,14261,0,47,"39","4","1","2",0
500,83566,0,46,"40","1","1","2",0
1000,39400,0,67,"34","4","1","2",4794
900,9992,0,50,"39","6","1","2",6420
325,7026,0,65,"36","4","1","2",6048
1300,241186,0,38,"44","3","1","1",0
1400,104457,0,50,"44","5","1","1",0
0,49434,0,37,"43","1","1","2",0
1200,56724,0,38,"40","1","1","2",0
700,52550,0,78,"39","4","1","2",11778
0,13386,0,83,"33","4","2","1",13026
612,43632,0,64,"39","1","1","2",0
1300,148514,0,50,"44","1","2","1",0
1636,158379,0,50,"40","1","1","1",0
0,18482,0,51,"34","1","1","1",0
1200,37654,0,52,"39","5","1","2",0
557,47600,0,34,"43","1","1","1",0
0,39487,0,22,"40","7","1","2",0
0,95600,0,33,"42","1","1","1",0
1000,22000,0,42,"33","5","1","2",0
0,38500,0,40,"42","5","1","1",0
1200,68480,0,57,"41","1","1","1",0
600,9600,0,16,"35","7","1","1",0
1260,48952,0,55,"40","1","1","1",0
0,53046,0,27,"40","1","4","2",0
0,27416,0,23,"33","1","1","1",0
3000,116300,0,44,"39","1","1","2",0
2158,41332,0,64,"39","1","1","1",0
0,41000,0,52,"39","4","1","2",0
2111,39505,0,52,"44","5","1","2",0
1100,23280,6240,36,"39","5","1","2",0
2000,45048,0,46,"39","1","1","1",0
3000,112104,0,36,"39","1","1","2",0
1700,28000,0,37,"41","1","2","2",0
0,8742,0,80,"39","4","1","2",6624
2405,8133,0,73,"39","4","1","2",6510
250,60078,0,42,"43","1","1","1",0
0,31680,0,55,"39","5","1","1",0
1300,49885,0,31,"39","1","1","1",0
0,570,0,51,"35","4","1","2",0
525,54815,0,23,"39","1","1","1",0
409,81000,0,52,"40","5","2","1",0
875,62100,0,60,"39","4","2","2",0
2800,36822,0,77,"34","1","1","1",8736
1350,30626,0,54,"42","6","1","2",0
0,3360,0,20,"39","7","1","2",0
1500,93534,0,58,"45","1","1","1",0
2880,65396,0,62,"44","7","1","2",0
312,54407,0,80,"43","3","1","1",4200
5300,90616,0,60,"45","1","1","1",0
0,55022,0,42,"43","1","1","1",0
557,17154,0,61,"39","5","1","2",0
434,44100,0,66,"40","1","1","1",6390
0,49100,0,22,"41","1","1","2",0
0,17448,0,27,"39","7","1","2",0
0,6534,4380,32,"33","7","1","2",0
780,42088,0,46,"37","1","1","2",0
0,46442,0,47,"39","1","1","2",0
0,43332,0,28,"39","2","1","2",0
800,52360,0,41,"39","1","1","1",0
905,93076,0,50,"44","7","1","2",0
550,23046,0,60,"39","4","1","2",0
1300,60200,0,47,"39","1","1","1",0
700,70341,0,62,"43","1","1","1",0
250,46500,0,37,"40","1","1","1",0
950,12000,0,59,"34","4","1","1",0
980,28800,0,38,"35","1","1","1",0
1000,9314,0,55,"43","7","2","1",0
1300,35000,0,40,"39","1","1","1",0
0,8000,0,39,"39","1","3","1",0
290,64570,0,40,"36","1","1","1",0
0,16545,600,22,"40","7","1","2",0
1648,26558,0,41,"40","1","1","1",0
850,9600,0,90,"40","4","1","2",4746
0,64500,0,33,"43","1","4","1",0
250,55020,0,31,"40","1","1","1",0
0,26268,0,48,"40","7","1","1",0
4100,88801,0,48,"40","5","1","1",0
0,18345,0,22,"40","1","1","2",0
910,45946,0,45,"43","1","1","1",0
1156,58800,0,73,"41","1","1","1",8274
0,23760,0,65,"35","4","1","2",6546
0,8762,0,67,"34","5","1","1",6786
815,40400,0,41,"40","7","1","2",0
1500,75204,0,84,"39","1","1","1",19992
3520,31024,0,34,"41","1","1","1",0
0,5000,0,38,"40","6","2","2",0
0,427734,0,35,"39","6","2","1",0
1091,19781,0,76,"35","1","1","1",12546
700,76791,0,49,"39","1","1","1",0
1500,104000,0,40,"45","1","1","1",0
210,75439,0,57,"39","1","1","1",0
4000,73300,0,45,"42","1","1","2",0
200,15242,0,70,"39","4","1","2",4284
1300,35000,0,72,"39","1","1","1",10578
346,10464,0,81,"38","4","1","2",11574
1000,69350,0,58,"40","6","2","2",0
0,55000,0,24,"41","7","1","1",0
945,60695,0,52,"40","5","1","2",0
3050,57484,0,62,"44","1","1","1",0
933,42000,0,27,"36","1","1","1",0
0,2100,0,34,"34","7","1","2",0
350,50000,0,28,"40","1","3","1",0
868,37100,0,24,"43","7","1","1",0
5300,54000,0,42,"39","7","1","2",0
600,79950,0,53,"39","1","1","1",0
412,14573,0,71,"37","4","1","2",9750
0,47019,0,47,"33","1","1","1",0
300,37440,0,61,"43","1","4","1",0
2393,51374,0,35,"39","1","1","1",0
0,8820,0,76,"39","7","1","1",4050
1687,119241,0,30,"44","1","1","2",0
283,40944,2200,41,"39","5","1","2",0
0,35200,0,26,"40","1","1","1",0
960,42508,0,50,"43","1","1","2",0
0,64368,0,39,"43","7","1","2",0
