"age","workclass","fnlwgt","education","marital_status","occupation","relationship","race","sex","capital_gain","capital_loss","hours_per_week","native_country","income"
26,"2",189754.993462442,"11","2","9","0","4","1",1049.7987144253,99.5300739162282,40.9755346150926,"38","<=50K"
56,"2",189735.583930547,"11","2","9","0","4","1",1162.73113113513,101.901825233957,40.9006957616093,"38","<=50K"
44,"2",190092.495400779,"11","2","9","0","4","1",1117.56399288665,86.7087399325777,40.2251216461524,"38","<=50K"
73,"2",188327.579097253,"11","2","9","0","4","1",1042.75491890702,144.703281703026,39.3866165749238,"38","<=50K"
31,"2",190455.130520316,"11","2","9","0","4","1",1074.59891128422,90.9596695679436,40.9443183921746,"38","<=50K"
41,"2",190160.408856183,"11","2","2","0","4","1",1068.19155819319,89.8199138889551,40.9154468624332,"38","<=50K"
49,"2",189111.526511697,"11","2","2","0","4","1",1023.9541813797,84.1313005102893,40.8867938955723,"38","<=50K"
46,"2",189944.740211222,"11","2","9","0","4","1",1122.36015160973,100.5938584741,40.8455370528197,"38","<=50K"
56,"2",189735.583930547,"11","2","9","0","4","1",1162.73113113513,101.901825233957,40.9006957616093,"38","<=50K"
62,"2",188703.32539118,"11","2","9","0","4","1",1400.90283923022,106.135621017633,41.8109433743975,"38","<=50K"
59,"2",188991.688114571,"11","2","3","0","4","1",1307.89835257999,72.5638361081249,40.8444518298816,"38","<=50K"
22,"2",189348.44811853,"11","2","3","0","4","1",947.260201368537,95.3725824731175,40.5440537221228,"38","<=50K"
32,"2",190522.258158541,"11","2","2","0","4","1",983.824494555646,89.7147151333361,41.1774702668029,"38","<=50K"
22,"2",189348.44811853,"11","2","3","0","4","1",947.260201368537,95.3725824731175,40.5440537221228,"38","<=50K"
31,"2",190455.130520316,"11","2","9","0","4","1",1074.59891128422,90.9596695679436,40.9443183921746,"38","<=50K"
20,"2",188688.92944461,"11","2","2","0","4","1",1224.3418450558,73.0881010276727,41.3818083577101,"38","<=50K"
42,"2",189974.013530332,"11","2","9","0","4","1",1087.48795845301,92.4955400027182,40.6199467241981,"38","<=50K"
25,"2",189642.657614142,"11","2","3","0","4","1",1055.66669822952,97.11180177338,41.2376349290621,"38","<=50K"
32,"2",190522.258158541,"11","2","2","0","4","1",983.824494555646,89.7147151333361,41.1774702668029,"38","<=50K"
32,"2",190522.258158541,"11","2","2","0","4","1",983.824494555646,89.7147151333361,41.1774702668029,"38","<=50K"
47,"2",189095.478277751,"11","2","2","0","4","1",1060.05789659882,92.0057936532262,41.0167434834279,"38","<=50K"
61,"2",188668.115449395,"11","2","2","0","4","1",871.856480228126,80.2502729018828,40.6663406742669,"38","<=50K"
49,"2",189111.526511697,"11","2","2","0","4","1",1023.9541813797,84.1313005102893,40.8867938955723,"38","<=50K"
35,"2",190433.908227938,"11","2","2","0","4","1",900.582432645204,79.0124639535555,41.0755952266036,"38","<=50K"
51,"2",189140.170534398,"11","2","9","0","4","1",1147.47898548453,93.6891757646694,40.7442515591314,"38","<=50K"
32,"2",190522.258158541,"11","2","2","0","4","1",983.824494555646,89.7147151333361,41.1774702668029,"38","<=50K"
36,"2",190569.809056435,"11","2","2","0","4","1",1164.52274197739,88.04782005015,40.9833993322706,"38","<=50K"
52,"2",189570.984899862,"11","2","9","0","4","1",1147.0586025417,92.9350346515598,40.6046482186796,"38","<=50K"
52,"2",189570.984899862,"11","2","9","0","4","1",1147.0586025417,92.9350346515598,40.6046482186796,"38","<=50K"
28,"2",189772.879234905,"11","2","9","0","4","1",1086.15583015752,90.3391586595007,41.2507368968709,"38","<=50K"
36,"2",190569.809056435,"11","2","2","0","4","1",1164.52274197739,88.04782005015,40.9833993322706,"38","<=50K"
47,"2",189095.478277751,"11","2","2","0","4","1",1060.05789659882,92.0057936532262,41.0167434834279,"38","<=50K"
35,"2",190433.908227938,"11","2","2","0","4","1",900.582432645204,79.0124639535555,41.0755952266036,"38","<=50K"
24,"2",189684.685609719,"11","2","2","0","4","1",973.70351530106,99.2960759561494,40.9740122733567,"38","<=50K"
67,"2",189903.059298774,"11","2","9","0","4","1",1089.40639400784,88.3557167010741,40.3480205690891,"38","<=50K"
49,"2",189111.526511697,"11","2","2","0","4","1",1023.9541813797,84.1313005102893,40.8867938955723,"38","<=50K"
34,"2",190454.439218193,"11","2","3","0","4","1",973.454984562281,91.0744774418481,41.0384962956966,"38","<=50K"
23,"2",189269.641335926,"11","2","9","0","4","1",1093.91941314679,89.8856265764768,40.9298371197404,"38","<=50K"
22,"2",189348.44811853,"11","2","3","0","4","1",947.260201368537,95.3725824731175,40.5440537221228,"38","<=50K"
23,"2",189269.641335926,"11","2","9","0","4","1",1093.91941314679,89.8856265764768,40.9298371197404,"38","<=50K"
71,"2",190696.586746215,"11","2","2","0","4","1",848.084178170406,105.419003246271,41.7329981935633,"38","<=50K"
50,"2",189016.052477925,"11","2","2","0","4","1",1018.31445579615,79.3672892870307,40.8480195242425,"38","<=50K"
46,"2",189944.740211222,"11","2","9","0","4","1",1122.36015160973,100.5938584741,40.8455370528197,"38","<=50K"
24,"2",189684.685609719,"11","2","2","0","4","1",973.70351530106,99.2960759561494,40.9740122733567,"38","<=50K"
42,"2",189974.013530332,"11","2","9","0","4","1",1087.48795845301,92.4955400027182,40.6199467241981,"38","<=50K"
21,"2",189750.41592433,"11","2","9","0","4","1",1054.28595498865,96.8601436237437,41.1053101248329,"38","<=50K"
44,"2",190092.495400779,"11","2","9","0","4","1",1117.56399288665,86.7087399325777,40.2251216461524,"38","<=50K"
36,"2",190569.809056435,"11","2","2","0","4","1",1164.52274197739,88.04782005015,40.9833993322706,"38","<=50K"
24,"2",189684.685609719,"11","2","2","0","4","1",973.70351530106,99.2960759561494,40.9740122733567,"38","<=50K"
40,"2",190088.658695519,"11","2","2","0","4","1",1002.04061719189,89.1294863668909,40.999840599762,"38","<=50K"
31,"2",190455.130520316,"11","2","9","0","4","1",1074.59891128422,90.9596695679436,40.9443183921746,"38","<=50K"
35,"2",190433.908227938,"11","2","2","0","4","1",900.582432645204,79.0124639535555,41.0755952266036,"38","<=50K"
26,"2",189754.993462442,"11","2","9","0","4","1",1049.7987144253,99.5300739162282,40.9755346150926,"38","<=50K"
33,"2",190503.40750669,"11","2","2","0","4","1",949.03071170057,92.692793659709,40.6833026214642,"38","<=50K"
31,"2",190455.130520316,"11","2","9","0","4","1",1074.59891128422,90.9596695679436,40.9443183921746,"38","<=50K"
45,"2",189928.13458944,"11","2","2","0","4","1",1073.08449560639,84.5382646660055,40.843372769619,"38","<=50K"
48,"2",188939.920983852,"11","2","2","0","4","1",1104.30388915014,78.5301479415316,40.8977785043199,"38","<=50K"
48,"2",188939.920983852,"11","2","2","0","4","1",1104.30388915014,78.5301479415316,40.8977785043199,"38","<=50K"
42,"2",189974.013530332,"11","2","9","0","4","1",1087.48795845301,92.4955400027182,40.6199467241981,"38","<=50K"
18,"2",188364.262632981,"11","2","9","0","4","1",1443.40648231086,73.5875974964326,41.9497406594208,"38","<=50K"
27,"2",190069.852939736,"11","2","2","0","4","1",906.879861923163,94.8883401690483,40.9038788588025,"38","<=50K"
25,"2",189642.657614142,"11","2","3","0","4","1",1055.66669822952,97.11180177338,41.2376349290621,"38","<=50K"
42,"2",189974.013530332,"11","2","9","0","4","1",1087.48795845301,92.4955400027182,40.6199467241981,"38","<=50K"
40,"2",190088.658695519,"11","2","2","0","4","1",1002.04061719189,89.1294863668909,40.999840599762,"38","<=50K"
21,"2",189750.41592433,"11","2","9","0","4","1",1054.28595498865,96.8601436237437,41.1053101248329,"38","<=50K"
32,"2",190522.258158541,"11","2","2","0","4","1",983.824494555646,89.7147151333361,41.1774702668029,"38","<=50K"
26,"2",189754.993462442,"11","2","9","0","4","1",1049.7987144253,99.5300739162282,40.9755346150926,"38","<=50K"
17,"2",192789.42651043,"11","2","9","0","4","1",1342.88972495816,71.3291439975749,40.5430619860153,"38","<=50K"
33,"2",190503.40750669,"11","2","2","0","4","1",949.03071170057,92.692793659709,40.6833026214642,"38","<=50K"
46,"2",189944.740211222,"11","2","9","0","4","1",1122.36015160973,100.5938584741,40.8455370528197,"38","<=50K"
24,"2",189684.685609719,"11","2","2","0","4","1",973.70351530106,99.2960759561494,40.9740122733567,"38","<=50K"
46,"2",189944.740211222,"11","2","9","0","4","1",1122.36015160973,100.5938584741,40.8455370528197,"38","<=50K"
47,"2",189095.478277751,"11","2","2","0","4","1",1060.05789659882,92.0057936532262,41.0167434834279,"38","<=50K"
32,"2",190522.258158541,"11","2","2","0","4","1",983.824494555646,89.7147151333361,41.1774702668029,"38","<=50K"
25,"2",189642.657614142,"11","2","3","0","4","1",1055.66669822952,97.11180177338,41.2376349290621,"38","<=50K"
50,"2",189016.052477925,"11","2","2","0","4","1",1018.31445579615,79.3672892870307,40.8480195242425,"38","<=50K"
21,"2",189750.41592433,"11","2","9","0","4","1",1054.28595498865,96.8601436237437,41.1053101248329,"38","<=50K"
31,"2",190455.130520316,"11","2","9","0","4","1",1074.59891128422,90.9596695679436,40.9443183921746,"38","<=50K"
20,"2",188688.92944461,"11","2","2","0","4","1",1224.3418450558,73.0881010276727,41.3818083577101,"38","<=50K"
23,"2",189269.641335926,"11","2","9","0","4","1",1093.91941314679,89.8856265764768,40.9298371197404,"38","<=50K"
22,"2",189348.44811853,"11","2","3","0","4","1",947.260201368537,95.3725824731175,40.5440537221228,"38","<=50K"
28,"2",189772.879234905,"11","2","9","0","4","1",1086.15583015752,90.3391586595007,41.2507368968709,"38","<=50K"
64,"2",190323.2501933,"11","2","9","0","4","1",1180.29251661729,86.0380998992965,40.6610851269223,"38","<=50K"
28,"2",189772.879234905,"11","2","9","0","4","1",1086.15583015752,90.3391586595007,41.2507368968709,"38","<=50K"
41,"2",190160.408856183,"11","2","2","0","4","1",1068.19155819319,89.8199138889551,40.9154468624332,"38","<=50K"
