"age","workclass","fnlwgt","education","marital_status","occupation","relationship","race","sex","capital_gain","capital_loss","hours_per_week","native_country","income"
27.4501797088308,"4",181507.404104792,"15","6","0","1","2","1",7016.81793279042,92.7999591477278,37.8087443787247,"38","<=50K"
34.6085389722708,"2",460561.713688576,"10","2","0","0","4","1",-186.105427050568,58.3500804668356,43.1635649275759,"38","<=50K"
41.0934125195524,"2",257051.884091637,"9","2","11","0","4","1",17809.1980440033,358.009261278992,41.9242341180283,"38","<=50K"
59.7040258511842,"5",24702.3484374241,"11","2","11","1","4","1",-164.968798665924,179.288208525906,44.1486139148744,"38",">50K"
37.7400996982364,"3",260135.943701912,"11","5","7","0","4","0",1541.12763693389,379.300084459285,46.7723306270944,"38",">50K"
48.6029356329548,"2",-73090.6411848664,"15","2","5","0","4","1",4086.29188033725,477.634669446758,30.4919580433313,"38","<=50K"
40.9083615854982,"2",157857.171869841,"14","4","3","4","4","0",-4168.51982064331,-82.5075320307308,16.6363472257241,"38","<=50K"
40.780825800755,"2",72078.1599557804,"11","4","2","1","4","0",-1640.78701859533,-229.790423653909,28.772531109669,"38","<=50K"
45.0964787992921,"2",191782.468043878,"9","0","11","3","4","1",-8845.77138852913,-287.40063260914,38.1416796629281,"38","<=50K"
39.8200633083545,"2",-8245.53376273243,"15","2","5","1","4","1",1623.8512191222,-204.592175186107,39.553784900842,"38","<=50K"
34.9785815398532,"2",344270.029769913,"15","4","11","1","4","1",1842.40516202583,-27.0524302779515,36.1343855197909,"38","<=50K"
40.6034717303977,"2",228116.166855348,"11","2","0","1","4","1",-13793.8616251002,-52.2320324173236,36.0966099207843,"38","<=50K"
25.9457888260556,"2",156099.105348265,"11","2","11","1","4","0",7176.27876224298,-33.99665672068,44.4267671096594,"38",">50K"
35.5975247544418,"2",173122.124518445,"15","2","0","0","4","1",-7906.50154339515,-637.434295530597,34.8317968899025,"38","<=50K"
-6.53314278991563,"2",60441.4246975611,"11","2","3","1","4","1",-2027.82711528138,419.69683844711,44.7733759022019,"38","<=50K"
42.0238714830359,"2",549342.295001832,"15","6","3","0","4","1",-1042.26420333453,1074.30658012624,37.9129647906922,"38","<=50K"
44.4178209435016,"2",182917.272981661,"7","2","0","0","4","0",4128.92373065615,-286.582819544888,62.9320032213937,"38","<=50K"
