"tax","income","csp","age","educ","marital","race","sex","ss"
0,12250,0,59,"39","5","1","1",0
0,47413,0,43,"43","1","1","1",0
900,7365,0,74,"43","4","1","1",2682
0,28253,0,85,"43","4","1","1",0
1480,24569,0,36,"39","1","1","1",0
700,26597,0,34,"41","7","4","1",8518
1719,23197,6635,45,"43","1","3","1",8131
0,38129,0,47,"40","1","2","1",0
590,113311,0,24,"36","4","1","1",0
347,14396,1184,70,"43","5","1","1",0
787,60239,0,49,"39","1","1","1",0
13,45649,0,46,"40","7","1","1",0
1310,46155,0,30,"39","1","4","2",0
700,169583,0,47,"34","1","2","1",1
1382,142604,3836,78,"40","1","1","1",0
469,10771,0,73,"42","5","1","2",0
333,13739,0,47,"39","1","2","1",0
1319,84935,0,51,"39","4","1","1",0
1332,23089,0,41,"44","1","1","1",0
1015,50375,0,21,"41","4","1","2",0
1200,4722,0,72,"37","1","1","2",12589
980,102415,0,36,"40","7","1","1",0
100,80615,0,47,"40","7","1","1",0
0,18713,0,23,"33","3","1","2",1
1481,59041,0,60,"34","1","3","1",0
1200,114551,0,34,"40","4","1","2",0
0,29353,0,48,"44","4","1","1",0
221,105782,0,53,"40","1","2","1",0
1500,108336,0,35,"39","4","1","1",0
525,108283,0,63,"40","4","1","2",0
1008,64178,0,72,"43","7","1","1",0
336,61665,0,60,"40","1","1","2",1
278,115815,0,42,"40","5","1","2",0
2076,64992,0,75,"39","1","1","1",1
491,5143,0,66,"44","4","1","1",0
1032,47866,0,39,"34","1","1","1",0
1000,12374,0,70,"42","1","2","2",12821
2600,90655,0,48,"40","5","1","1",0
1040,16343,0,40,"40","1","1","1",0
0,13728,0,54,"33","1","1","1",0
1116,4783,0,21,"45","1","1","2",0
800,18288,0,80,"38","1","4","1",0
0,71058,0,65,"39","5","2","1",2293
828,11909,0,71,"39","3","1","1",8532
0,57503,0,26,"43","1","1","1",0
1155,41444,0,37,"43","1","1","2",0
310,117977,0,27,"39","7","1","2",0
0,21006,0,51,"42","1","4","1",13806
0,22102,0,35,"39","1","1","2",3
813,8509,0,21,"43","1","1","2",10410
2620,27570,0,56,"43","4","2","1",0
0,30418,0,58,"39","1","1","1",0
3764,97240,0,49,"34","1","2","1",0
215,33024,0,53,"43","5","1","1",10844
1700,28095,0,43,"39","1","1","2",0
3555,84420,0,45,"34","1","1","2",0
4300,27458,0,29,"40","7","1","1",0
2000,109992,0,50,"43","5","1","2",0
0,59267,0,76,"39","4","1","1",13935
0,7785,0,50,"40","1","1","1",12157
1977,17030,0,30,"40","5","1","1",0
360,42696,0,33,"43","1","1","1",5462
6349,13066,0,39,"38","5","1","1",0
1519,272581,0,36,"41","1","1","2",1
