tax,income,csp,age,educ,marital,race,sex,ss
0,17997,0,64,35,4,2,2,0
424,11739,2905,67,40,5,1,1,3
3,13435,0,37,35,1,2,1,0
0,47580,1,39,40,1,1,2,0
2151,75343,0,55,43,1,1,1,0
738,72501,0,29,39,1,1,2,0
0,27713,0,81,38,5,1,1,2
15,44624,0,27,46,7,4,1,0
0,23986,0,44,38,1,1,2,2
1010,100668,0,39,38,1,1,2,0
0,78030,0,47,43,5,2,2,0
0,43704,1,72,38,4,1,2,9937
301,15300,0,69,36,1,1,2,10827
667,47512,0,44,40,1,1,1,3
0,32003,0,40,38,5,1,2,3
0,10718,0,68,41,5,1,1,5
0,34966,0,61,43,5,1,2,0
351,15007,0,75,33,1,1,1,11715
3067,165481,0,52,38,1,1,2,5
0,46181,0,27,39,1,1,1,0
1,35761,0,42,34,7,1,1,0
2202,147594,0,38,40,1,1,1,1
0,26293,0,80,33,4,1,2,8391
0,18385,0,41,35,1,1,1,0
2032,54664,1,77,34,4,1,2,10925
1225,48777,1,65,38,1,1,1,0
1173,45558,0,68,40,1,1,1,8506
10,19123,0,29,36,1,3,2,0
2909,18724,0,26,43,1,1,1,1
20,10834,1,42,42,5,1,2,3
4,13732,1,29,34,7,1,2,0
3,39282,1,30,40,5,2,2,0
416,16555,0,66,40,1,2,2,0
974,18700,0,55,39,1,1,1,0
253,17414,0,34,40,1,1,1,0
4295,144978,0,52,43,7,1,2,0
2371,264637,0,39,43,1,1,1,0
624,91822,0,31,40,1,1,2,0
5,51523,0,41,34,1,2,1,0
16,42951,0,28,39,1,1,1,0
358,17752,1,74,40,6,1,2,11224
458,94205,0,40,39,6,1,2,7
2026,33780,1,45,38,1,1,1,0
12,39716,0,42,39,1,1,1,0
18,20667,0,68,38,4,1,2,0
3551,44657,0,62,38,1,2,1,0
1273,38063,0,24,40,1,1,1,0
2486,36398,0,66,31,1,1,1,3
28,54619,0,31,43,1,1,1,0
445,45087,0,53,35,5,2,2,0
123,17189,2,86,35,4,2,2,4693
6,40337,1,52,39,3,1,2,0
1,15061,2,28,43,7,1,2,0
380,17899,1,39,34,1,1,1,0
690,78347,0,60,42,1,1,1,0
1664,92125,0,52,43,1,1,1,0
1763,125506,0,65,38,1,1,1,0
0,13977,1,65,39,1,1,2,0
4,14170,1,42,31,1,1,1,1
2752,86287,0,66,38,1,1,1,0
2313,94142,0,51,39,1,1,2,0
0,16735,0,81,39,4,1,1,13238
22,233492,0,51,38,1,1,2,0
493,29577,0,38,42,5,1,2,4
540,21711,0,51,40,5,1,2,0
374,146312,0,65,43,1,1,1,0
936,35152,0,56,35,1,1,1,0
4,42964,0,40,35,1,4,2,0
8,12552,1,38,39,1,1,1,0
1177,42994,0,39,39,5,1,1,0
557,19033,0,41,38,1,1,1,0
0,16106,0,47,39,6,1,2,0
296,41535,0,40,40,3,1,2,0
639,82272,0,69,43,1,3,1,5319
535,137131,0,40,40,5,1,1,0
733,18348,1,81,42,1,1,1,12798
2439,77431,0,42,43,1,1,1,0
569,140462,0,66,31,1,1,1,0
0,18679,0,28,35,1,1,1,0
551,24166,0,88,39,1,1,1,13631
1435,83316,0,39,38,5,1,2,2
990,86406,0,39,42,1,1,2,1
10,81919,1,52,39,5,1,2,0
3261,11761,0,29,42,5,1,2,0
11,13848,3403,71,39,5,1,2,0
0,43058,3112,40,38,5,1,2,1
1369,94854,0,38,42,1,1,1,1
0,42936,0,29,35,5,1,1,0
2434,87785,0,74,35,1,1,2,4184
2790,82195,1,70,43,1,1,1,10948
1,11218,0,40,39,5,1,1,0
4114,40544,1,38,38,1,1,1,0
942,52787,0,68,39,1,2,1,9567
5429,70016,0,47,40,5,1,2,0
4662,88152,0,72,39,4,4,2,10990
0,37924,8103,27,43,6,4,1,0
349,10473,0,52,39,1,3,1,1
0,33976,1,39,43,7,2,2,0
891,40912,0,48,38,1,1,1,0
1,28859,0,38,40,5,1,1,3
444,41039,0,87,39,4,1,2,2466
121,16708,1,81,38,1,1,2,11823
5106,78870,0,65,39,1,1,1,1
0,32040,0,23,35,7,1,1,0
1530,147121,0,50,42,7,1,2,1
413,41029,0,28,38,1,1,1,0
0,27607,0,25,38,7,1,1,1
7,142442,0,56,43,1,1,1,0
1079,42667,0,52,43,1,1,2,0
1,13254,0,27,43,4,1,2,0
156,81876,1,37,38,1,1,1,0
0,15206,0,28,39,7,1,2,1
2274,16243,0,50,38,1,1,1,0
1348,148544,0,39,43,1,1,2,0
4,48348,1,56,45,5,1,1,0
570,44458,0,49,39,1,1,1,0
350,50021,0,40,38,1,1,1,1
3822,129976,2906,51,39,1,1,1,5673
805,29844,0,39,42,1,1,1,0
478,53207,1,55,38,1,1,2,2
1,42788,0,26,40,7,1,2,1
145,34083,0,43,35,1,1,1,0
1241,100615,0,53,42,1,1,2,0
381,54420,0,40,43,1,1,2,0
0,49868,0,28,39,7,1,2,0
1213,91308,0,49,38,1,1,2,0
600,50101,3154,40,40,1,1,2,2
396,76677,0,67,39,1,2,1,13085
1467,48629,0,77,40,4,1,2,0
0,8573,0,44,32,3,1,2,6019
821,30944,0,41,40,1,1,1,0
645,83085,0,66,38,5,1,2,0
30356,20251,0,83,38,4,1,2,5777
396,45350,0,48,32,7,1,2,11276
381,42892,1,41,39,1,1,2,1
1322,299394,1,53,44,1,1,2,0
963,14524,1,42,38,6,1,1,0
6,20359,0,81,34,1,2,1,0
2395,151934,0,47,43,5,1,1,0
227,38609,0,38,34,1,1,1,2
989,52457,0,53,38,1,1,2,4
0,14739,0,29,39,7,1,1,6
1217,48543,0,39,40,1,1,2,1
2007,78162,0,53,42,1,4,1,0
465,60221,0,80,39,1,1,1,14420
631,119724,0,65,38,1,1,1,0
0,8286,0,38,34,5,1,1,0
