tax,income,csp,age,educ,marital,race,sex,ss
39,242959,0,62,45,1,1,1,0
58,15157,3787,34,39,7,2,2,113
645,42369,0,30,36,1,1,1,0
51,33771,0,50,38,5,1,2,244
1965,74299,0,48,41,1,1,2,0
0,34129,0,87,37,5,1,1,5108
995,58154,0,55,34,1,1,1,0
3119,235118,0,46,44,1,1,1,0
7932,86703,0,80,42,1,1,1,12305
3,7453,0,43,40,7,2,2,653
11597,93531,8141,43,42,5,1,2,0
39,16665,0,29,38,5,2,1,0
0,22669,492,51,38,5,1,2,0
0,14061,0,43,33,1,1,2,0
2040,65953,0,47,44,1,1,1,0
3880,25110,0,68,43,1,2,2,9448
697,36111,0,73,38,4,1,2,9971
0,86036,0,32,39,1,1,1,0
867,37964,0,47,39,5,1,1,0
2673,41656,143,70,34,4,2,2,5556
2113,47121,0,69,44,4,1,2,8122
1453,57461,0,35,41,1,1,1,0
3209,107004,0,54,43,1,2,1,0
0,29950,0,36,39,5,1,2,0
4389,31950,0,32,38,1,1,1,0
0,31427,0,45,40,5,1,1,0
0,7122,0,61,35,4,1,2,6950
0,37279,3164,33,40,6,1,2,0
1997,73463,0,63,43,1,1,1,7293
559,36832,0,22,39,1,1,2,0
27,42631,705,26,32,7,1,2,0
219,14798,0,79,40,4,1,1,13245
2001,14685,0,68,40,1,1,1,7898
838,38838,0,79,44,1,1,1,11381
7442,75527,0,47,42,1,1,1,0
3833,46544,0,52,40,1,1,1,7901
287,22112,0,34,39,5,1,1,0
1341,144250,23917,35,38,4,1,2,0
4640,73819,0,36,43,1,1,2,0
11,11606,0,30,37,1,3,1,0
171,29562,0,25,39,1,1,1,0
183,34254,0,39,37,1,1,1,281
1922,31608,0,50,43,7,1,2,0
532,101451,0,54,43,1,1,1,0
3975,162044,0,54,42,1,1,2,0
2264,18859,0,39,36,5,2,1,0
862,34637,0,36,39,1,1,1,0
404,58468,0,46,39,1,1,1,0
926,11135,0,62,31,7,1,2,3051
0,120408,0,49,39,3,1,1,2455
3823,15277,0,90,37,4,1,2,10455
1141,25902,0,63,37,1,1,1,8557
1146,98028,0,56,43,1,1,1,0
8125,178076,219,48,43,1,2,2,0
33,5007,12135,41,40,5,1,2,0
937,13556,0,69,36,1,1,1,7773
2414,18877,0,80,34,1,1,1,12412
0,37566,21,22,42,7,1,2,0
0,100671,0,18,40,7,1,1,0
0,19248,0,50,35,6,1,2,0
2086,32137,0,84,33,1,1,1,0
0,13699,0,54,33,1,1,2,565
148,24303,0,48,39,5,1,1,0
100,23661,0,50,39,1,1,1,0
2254,30181,0,40,41,1,1,1,0
1261,32723,0,66,39,1,1,1,0
0,78452,0,53,42,1,1,1,0
3165,47907,0,68,39,1,1,1,11703
187,30505,0,66,35,1,2,2,6821
1346,219387,0,75,43,1,1,1,0
1884,127886,726,37,42,5,1,1,0
841,21038,0,73,40,4,1,2,11999
7020,624468,202,58,45,1,1,1,0
1188,57294,0,67,42,1,1,1,15249
766,20705,0,40,40,7,1,1,0
734,39843,0,58,40,5,1,2,0
106,62413,0,43,39,1,1,2,0
1054,67352,0,53,42,5,1,1,0
0,32781,0,36,38,5,2,1,0
1409,51420,0,36,39,1,2,1,0
1514,105023,0,38,39,1,1,2,0
3261,19696,0,85,37,4,1,2,3668
674,19363,0,74,39,1,1,1,6607
257,8460,0,74,35,1,2,1,9603
1127,96889,0,58,40,1,4,1,0
48,31726,0,48,37,3,2,1,0
0,21214,0,44,41,1,2,1,0
11733,57516,0,35,39,1,1,2,0
0,71845,0,47,39,1,1,1,0
3240,30605,0,45,40,7,1,1,0
0,44938,0,49,41,3,1,1,0
270,57495,0,39,43,7,1,2,0
326,71912,630,48,44,5,1,2,0
436,60147,0,48,43,1,1,2,0
583,116758,4145,38,39,7,1,1,0
1317,57362,0,60,45,7,1,2,0
513,43267,0,77,38,4,1,1,14916
7460,135086,0,34,42,1,1,2,0
1882,74982,0,34,39,1,4,2,0
1028,21258,3581,43,39,5,1,2,0
4188,290683,0,47,42,5,4,1,0
284,40109,0,47,40,1,1,1,0
39,21696,0,78,40,4,1,2,16049
1767,29685,0,40,38,1,1,1,0
0,75161,0,30,38,1,1,1,0
476,53538,0,38,41,5,1,1,0
1865,88568,0,50,43,1,1,1,101
565,29244,0,58,43,5,2,1,0
838,15650,0,74,39,4,1,2,10231
0,60290,0,32,44,1,1,2,0
1145,35523,0,61,38,4,1,2,10651
803,77163,0,57,40,1,1,1,0
1598,23736,0,71,39,1,2,1,11866
134,18027,0,32,39,1,2,1,911
0,3979,0,17,43,1,1,1,0
0,34939,0,53,33,7,1,1,0
39,12518,0,71,35,4,1,2,4852
0,30053,0,26,42,7,1,1,0
118,33724,0,40,42,5,4,1,4397
243,53616,0,42,39,5,3,1,2415
0,33701,0,41,43,7,1,1,0
4,53561,0,25,42,1,1,1,0
0,38268,0,29,34,1,1,1,0
4945,214193,0,58,44,1,1,1,0
0,206161,0,24,43,1,1,1,0
890,17823,0,74,32,1,1,1,6193
716,7841,7,62,33,1,1,1,6954
692,31548,0,67,37,1,1,1,19810
2181,32602,0,22,39,1,1,1,0
2213,58309,0,68,35,4,2,2,6905
