tax,income,csp,age,educ,marital,race,sex,ss
0,44000,0,27,40,1,1,1,3
1958,46366,0,24,39,1,1,1,1
208,25717,0,76,33,1,1,2,8808
0,30085,1,70,39,1,1,1,10819
1071,39226,0,82,38,4,1,2,11129
2144,72938,1,37,43,1,1,1,2
441,54145,0,60,39,1,1,1,0
1229,59647,0,68,39,1,1,2,11059
0,19892,1,22,42,7,1,2,0
0,59018,0,39,38,7,1,1,4
5,18645,0,49,42,1,1,1,0
1489,57251,0,37,41,1,1,1,5
3,24267,0,72,39,4,1,1,13121
734,39013,0,48,42,1,1,2,7
1168,45664,0,53,39,1,3,2,0
1502,54463,1,63,35,4,1,2,6115
8,38292,1,27,38,1,1,2,3
3103,94476,0,38,43,7,1,1,2
0,6217,0,22,38,7,1,2,10357
227,57298,1,39,38,1,1,1,5615
3472,27301,0,76,38,1,1,1,10464
490,104364,0,30,39,1,1,1,0
995,129840,0,32,33,1,1,2,3
477,89221,0,54,41,1,1,1,1
0,8046,0,29,37,3,1,1,0
10,45142,0,38,42,5,1,2,2
422,25383,0,23,42,1,1,2,11026
177,4057,4865,22,42,4,1,2,0
0,85954,1,34,43,7,2,1,0
1511,36920,0,53,42,1,1,1,4
1129,24906,0,65,39,5,1,2,11250
2,21321,0,33,39,1,4,1,7
2,22109,0,28,42,7,1,1,4
10,23731,0,44,37,6,2,1,0
0,22348,2,36,38,1,2,1,0
6783,84248,0,40,39,1,1,1,7
496,43047,0,29,44,4,2,2,0
0,22246,0,54,39,6,1,1,2
601,73016,0,47,38,1,1,1,0
6,51529,0,47,40,1,1,1,4
0,41707,0,53,42,5,1,2,5947
0,56859,0,27,42,1,1,1,0
1091,40323,0,51,39,5,1,2,0
3034,16676,0,60,40,1,1,1,11491
4790,28366,0,38,37,5,1,2,0
2619,74576,0,47,40,1,1,1,2
357,26291,0,74,39,1,1,1,10642
2742,90459,1,53,38,1,1,1,3
1953,52408,0,38,33,1,1,1,0
1507,37830,1,53,40,5,1,2,0
2136,129387,0,40,38,1,1,1,4
2467,115929,0,69,35,1,1,1,10426
482,39920,2,63,41,1,1,1,0
3,37362,0,21,37,7,1,1,3
341,101669,0,29,39,1,1,1,0
0,59521,0,35,40,6,3,1,4
2108,22737,0,54,42,1,1,1,4
24,53404,0,46,38,5,1,1,0
2962,8937,0,38,43,1,1,1,1
421,7726,0,74,32,4,2,2,5667
12,43899,0,59,40,5,1,2,1
0,43588,0,72,39,5,1,2,5639
