tax,income,csp,age,educ,marital,race,sex,ss
356,413160,23917,77,43,2,3,2,16036
43421,236081,20450,90,46,2,3,2,0
82061,130606,20450,44,46,6,3,2,0
6431,556544,20450,43,43,2,3,2,16493
3710,556544,20450,69,46,2,4,2,15620
38805,183673,1998,36,46,2,3,2,0
63437,99352,9064,90,46,2,3,2,1636
68951,556544,20450,44,45,2,3,2,0
5079,28978,481,44,46,2,3,2,18906
82061,363880,20450,90,46,2,4,2,0
78663,236081,20450,90,45,2,4,2,0
6946,454833,15196,44,46,6,4,2,0
9530,203260,15852,90,45,2,4,2,0
46199,275214,8876,42,42,4,3,2,15563
0,554241,20450,59,44,2,3,2,0
2135,301167,20450,90,46,5,3,2,0
365,236081,15560,44,45,2,4,1,0
3867,153585,562,90,38,2,3,2,0
4350,84572,13402,90,39,5,4,2,1146
82061,236081,20450,37,43,2,4,2,23153
82061,236081,20450,36,43,2,3,2,0
3734,120855,8918,59,40,3,4,2,0
82061,208515,20450,90,46,2,4,2,0
12426,1,10751,15,40,7,3,1,13765
1698,231844,5952,44,43,6,3,2,0
82061,142644,20450,44,44,6,4,2,0
0,129468,20450,90,44,2,3,2,4390
82061,236081,20450,90,46,2,3,2,0
8645,134870,20450,44,43,6,3,2,0
61,181165,5321,42,44,2,3,2,0
9530,27157,0,63,39,2,2,2,15000
4427,159293,8218,44,46,2,4,2,0
613,203294,23917,90,39,3,3,2,4107
30907,236081,20450,90,46,2,3,2,0
475,235110,20450,44,46,2,3,2,0
9530,403431,20450,70,43,2,4,2,0
73246,91592,8785,90,44,5,4,2,25008
82061,180406,17914,90,46,2,4,2,0
0,150431,20450,90,46,2,3,2,0
9530,116719,20450,90,44,2,4,2,2866
82061,98919,10397,90,38,6,3,2,2070
3520,168784,0,90,44,2,4,2,10886
82061,135209,2990,90,46,6,3,2,5487
82061,86471,10917,55,38,3,2,2,1151
34244,556544,20450,90,45,2,3,2,0
68160,556544,20450,90,35,2,3,2,7860
82061,1,12909,59,46,3,3,2,0
82061,290077,20450,80,45,6,4,2,0
27004,289265,19637,83,43,3,2,2,582
82061,502045,20450,90,45,2,3,2,0
82061,190453,7581,90,45,2,3,2,0
73725,205851,17744,90,46,2,3,2,0
9300,556544,20450,44,46,2,4,2,597
59853,63670,20450,41,43,2,4,2,0
8743,556544,17283,90,45,5,4,2,0
36201,48155,4764,90,36,2,4,2,9403
50749,112880,7301,90,45,2,3,2,0
82061,556544,20450,90,46,2,3,2,0
82061,196172,20450,44,46,2,3,2,0
82061,236081,20450,90,38,2,3,2,0
68734,236081,20450,42,40,2,3,2,11198
70922,556544,20450,44,41,2,3,1,0
0,556544,20450,90,44,2,3,2,0
13747,191633,17286,25,38,2,3,2,30386
36550,223409,20450,40,44,2,4,2,0
4949,424929,15435,90,31,2,4,2,8347
900,272053,17060,44,46,6,4,2,12413
82061,236081,20450,90,45,2,3,2,2337
49546,83752,13524,75,39,3,4,2,6678
82061,232190,20450,90,31,2,3,2,17509
26,227555,20450,64,43,2,4,2,17190
48042,236081,15237,90,39,3,3,2,0
65675,58784,20450,90,45,2,3,2,0
54644,116368,11833,90,46,2,4,2,7392
82061,236081,20450,90,39,2,3,2,0
47085,236081,20450,90,36,2,3,2,0
82061,236081,20450,41,41,2,4,1,6701
81512,87446,8885,90,45,2,3,1,7563
9530,142128,20450,89,44,6,3,2,18755
8375,187608,20450,90,46,2,4,2,0
8029,236081,20450,90,46,2,3,2,0
25640,503806,20450,90,46,2,3,2,0
59046,496443,20450,90,43,2,3,2,0
75077,426446,20285,75,45,6,4,2,0
82061,472072,20450,37,44,2,3,2,0
70071,79884,6484,90,46,2,3,2,15697
82061,556544,20450,44,46,6,4,2,0
15719,102371,20450,43,45,2,4,2,0
64228,556544,20450,90,44,2,4,2,0
78890,7096,20450,32,42,2,3,2,50000
48027,405220,20450,90,43,2,4,2,0
82061,199654,14741,44,44,2,3,2,0
31847,420156,20450,90,46,2,3,2,0
3679,288545,20450,44,46,2,3,2,0
82061,236081,16515,90,45,3,2,2,0
1,556544,20450,77,46,2,4,2,2112
46903,164060,11583,86,46,6,3,2,0
72033,127116,20450,90,36,2,3,1,11348
61434,194930,20450,90,45,6,4,2,3485
1385,59166,23206,90,46,2,3,2,23033
8004,556544,20450,44,43,2,4,2,0
9530,185823,9863,90,44,3,4,2,3150
44487,152257,20450,56,44,6,3,2,0
82061,236081,20450,90,46,2,4,2,0
82061,556544,20450,90,46,6,3,2,0
1875,236081,20450,90,46,2,4,2,0
424,60497,12659,90,36,6,3,2,4139
49244,478896,14191,86,44,3,3,2,18846
82061,152913,20450,90,44,6,3,2,0
40029,1,16891,32,43,2,3,1,17850
