tax,income,csp,age,educ,marital,race,sex,ss
2188,30487,0,57,39,5,1,2,0
0,24960,0,40,39,1,1,1,0
1300,124156,0,70,43,1,1,1,15882
1500,176600,0,37,43,7,1,2,0
3000,165344,0,74,39,1,1,1,14214
450,26660,0,52,42,5,1,2,0
9000,88446,0,63,39,1,1,2,8346
1200,27660,1050,31,39,7,1,2,0
1000,56664,0,45,43,7,1,1,0
1950,31000,3000,39,40,5,1,2,0
0,14400,0,20,39,7,3,1,0
250,81298,0,44,43,1,1,1,0
44,4300,0,54,39,5,1,1,0
0,7200,0,53,39,5,1,2,0
0,20750,0,22,40,7,1,1,0
0,59683,6000,42,40,6,1,2,0
0,492,0,21,37,7,2,2,0
0,40299,0,35,40,5,4,2,0
0,63020,0,24,40,7,1,2,0
3653,102800,0,39,41,1,1,1,0
90,26000,0,43,37,1,3,2,0
1300,30030,0,46,39,7,1,1,0
905,18588,0,64,36,1,1,1,11166
1200,23800,7800,40,39,5,1,2,0
1653,37166,0,70,39,4,1,1,13362
333,14286,1482,29,39,5,2,2,0
1428,35003,0,40,41,5,1,1,0
0,70083,0,37,43,1,1,2,0
2468,57200,0,59,44,1,1,1,14400
2537,145650,0,38,39,1,1,1,0
1107,120000,0,52,43,5,1,2,0
0,38878,0,81,40,4,1,1,4646
1600,74368,0,56,40,1,1,1,0
880,88294,0,46,39,1,1,1,0
0,15000,0,22,40,7,1,2,0
0,24025,0,63,40,4,1,2,0
14,29640,0,32,37,7,1,1,0
0,35371,0,36,39,6,1,2,0
235,16672,0,86,39,4,1,2,8310
2600,44000,0,48,40,7,1,2,0
500,38059,0,59,40,1,2,1,0
650,374770,0,81,40,1,1,1,50000
365,43000,0,38,39,1,1,1,0
0,1000,0,47,33,5,1,2,0
49,38812,0,53,39,1,1,1,0
0,31200,0,38,36,1,1,2,0
2129,29532,0,44,34,7,4,2,0
1750,16116,0,71,40,4,1,2,12546
0,16858,0,30,39,7,2,2,0
0,53500,6500,35,40,7,1,2,0
0,77940,0,48,43,4,1,2,0
770,61282,0,77,40,1,1,1,0
3017,105563,0,30,43,1,1,1,0
1536,9322,0,66,39,4,3,2,9222
5000,42760,0,79,39,4,1,1,16158
2100,121750,0,47,43,1,1,1,0
550,34896,0,64,39,1,1,1,11796
500,38264,780,62,39,1,1,1,4365
0,5000,0,26,32,1,1,1,0
100,22570,5568,35,41,1,1,2,0
3600,53400,0,62,40,4,1,2,0
