tax,income,csp,age,educ,marital,race,sex,ss
68268,305712,2732,59,43,5,1,1,2732
43567,435830,10799,62,46,6,4,2,43567
42613,117953,9845,79,36,1,2,2,42613
45891,152316,19648,82,31,4,1,1,45891
21243,359784,13123,82,34,4,4,2,21243
95939,304138,21243,24,42,4,4,2,30403
97639,122580,9225,36,34,2,4,2,32103
41993,610582,20757,51,38,4,4,2,41993
86293,448243,22258,85,40,6,2,2,20757
55026,374565,14116,27,34,3,4,2,46884
80471,735832,14935,73,36,5,2,2,14935
80966,736327,15430,80,33,7,3,1,15430
48600,310745,15832,54,35,1,1,1,48600
39512,170585,6744,61,38,1,4,2,39512
52620,604475,19852,52,37,5,3,1,14650
80186,541378,14650,40,39,3,1,1,17089
17089,674344,17089,87,39,2,1,1,32230
32230,370776,18983,24,43,7,1,1,18983
18983,745049,10327,35,41,7,3,1,43095
89688,255654,18606,84,32,1,2,2,24152
82457,606746,2897,62,37,2,3,1,35665
93005,332753,16921,79,38,6,4,2,16921
6921,430836,6216,64,38,2,4,2,27469
38804,532166,6921,44,45,6,3,1,38984
67699,346111,6036,34,39,1,1,1,6921
70608,597424,2163,34,32,2,2,2,38804
37619,441171,5072,29,36,5,2,2,2163
7877,370649,4851,54,40,4,2,2,5072
83966,556210,7877,47,44,1,2,2,37619
1871,230132,18430,80,39,4,1,1,7877
73135,49812,1871,24,40,6,2,2,18430
2496,724116,7599,72,35,7,1,1,1871
47954,473999,2496,47,34,1,4,2,7599
24675,745896,15186,46,31,3,1,1,2496
31921,122145,10200,89,34,4,4,2,47954
99059,183562,755,38,36,1,2,2,24675
797,84666,797,50,45,2,3,1,42968
49811,381568,17043,90,46,4,4,2,31921
68755,303649,3219,70,46,6,4,2,33523
80782,514592,15246,43,31,4,1,1,797
90535,477429,23840,49,33,4,3,1,49811
81857,649892,16321,15,34,7,4,2,3219
52489,227839,19721,15,39,1,1,1,15246
84665,273868,19129,51,32,2,2,2,24999
41504,437107,21119,68,34,2,4,2,16321
49866,410808,8736,20,44,2,2,2,19129
84212,320291,23071,53,34,1,4,2,41504
96766,714661,17098,32,34,3,4,2,49866
11723,71558,18676,19,45,5,3,1,18676
43890,151079,11723,57,38,4,4,2,31230
17591,658921,11122,73,31,7,1,1,11723
58146,61714,17591,46,32,4,2,2,43890
92288,620880,22556,16,40,3,2,2,17591
59300,45445,10368,80,40,5,2,2,43136
89141,570811,23605,56,46,3,4,2,26752
71557,113184,6021,72,31,1,1,1,23605
20006,86905,20006,50,46,1,4,2,6021
3560,20738,3560,26,41,5,3,1,20006
90868,521538,12676,61,35,6,1,1,3560
61713,684008,18025,15,38,6,4,2,25332
96591,716714,13754,29,34,7,4,2,31055
45444,354362,14879,68,45,1,3,1,45444
46522,80164,21368,27,42,5,4,2,46522
86904,274279,20737,57,33,2,3,1,47647
20737,47884,14627,90,38,5,4,2,21368
28647,762287,12134,83,43,2,1,1,20737
61353,86108,15115,21,33,3,3,1,28647
92217,707172,8622,83,31,3,1,1,26681
80163,412557,23634,62,31,1,1,1,14627
12134,551546,20571,18,35,2,1,1,12134
60535,409515,19043,67,36,2,2,2,47883
47883,536661,9781,30,36,2,2,2,41390
86107,397637,19340,35,37,2,3,1,20571
63360,586368,16298,73,39,4,1,1,9781
51811,210933,12372,38,35,7,1,1,19340
9781,758916,18635,28,32,4,2,2,27257
19340,138085,4420,63,46,7,4,2,16298
27257,271541,13062,64,35,3,1,1,12372
16298,505833,7108,84,40,4,2,2,4420
12372,266063,17455,56,41,1,3,1,45830
4420,9360,14324,50,41,7,3,1,39876
82991,378517,5251,79,46,4,4,2,17455
62079,175332,7012,84,39,6,1,1,14324
79860,146200,9396,15,32,5,2,2,38019
7012,502480,14312,65,32,2,2,2,7012
9396,101262,3918,51,38,3,4,2,9396
3918,341846,9359,49,40,5,2,2,47080
9359,270897,18068,63,40,4,2,2,3918
44259,108102,11491,18,34,5,4,2,9359
23482,211114,23482,57,37,7,3,1,44259
15127,464548,15127,36,38,5,4,2,23482
37237,312769,10959,88,42,5,4,2,15127
79701,744544,2957,15,45,4,3,1,43727
8752,618079,4469,25,33,5,3,1,35725
80041,762113,14165,58,42,5,4,2,37237
71331,186226,8752,73,31,5,1,1,14165
50624,233139,9797,38,45,1,3,1,8752
89183,324901,14505,74,34,7,4,2,42565
40133,649123,5795,17,36,5,2,2,14505
93790,90929,17856,77,43,4,1,1,5795
55153,606046,23647,50,40,3,2,2,23647
62756,84356,7365,82,41,6,3,1,40133
90928,624227,8448,61,35,6,1,1,28254
81757,441899,22385,35,42,6,4,2,41216
84355,217457,3762,65,35,1,1,1,36530
99938,468968,16221,42,37,2,3,1,25392
48682,24778,18819,29,35,6,1,1,16221
66509,538113,1634,56,46,2,4,2,18819
86384,259979,15914,73,46,4,4,2,34402
75751,395635,973,80,35,1,1,1,48682
76693,406060,20848,51,34,6,4,2,973
24777,340923,10215,25,43,7,1,1,20848
13824,298368,11157,58,35,1,1,1,10215
2418,323715,13824,26,35,2,1,1,11157
12843,481379,2418,17,39,3,1,1,24777
78778,450111,12843,66,45,5,3,1,13824
36223,96991,13242,47,46,3,4,2,2418
61570,108484,3455,69,35,1,1,1,12843
6521,383571,22551,15,34,6,4,2,13242
88162,14255,22203,53,41,4,3,1,36223
56894,482453,6521,34,38,3,4,2,6521
74659,37074,22626,61,46,3,4,2,22626
96990,234908,9123,57,44,6,2,2,9123
14254,64571,10179,71,36,1,2,2,31454
51939,80578,23122,75,36,6,2,2,42947
89236,449573,14254,45,31,2,1,1,14254
37073,416523,19171,39,32,1,2,2,23700
23310,561239,23700,17,36,3,2,2,37073
31785,340841,4305,18,40,3,2,2,38299
64570,747532,18994,28,34,4,4,2,23310
80577,244483,5531,55,31,3,1,1,31785
