tax,income,csp,age,educ,marital,race,sex,ss
687,27172,0,49,39,7,4,1,0
277,26558,0,28,39,5,1,1,0
474,58274,0,81,34,1,1,1,11927
59,51349,0,49,40,7,1,1,0
0,140235,0,49,35,1,1,1,0
1194,42461,0,41,40,1,1,1,5800
404,12152,0,24,39,7,1,1,0
0,54216,0,46,42,7,2,1,11032
2502,70272,0,51,44,4,3,1,8477
0,45349,0,51,42,1,1,1,0
1,37639,0,61,39,4,1,1,0
316,25150,0,29,39,1,1,1,0
1150,173944,0,46,45,7,4,1,0
1491,148256,11770,31,40,3,1,2,0
3714,84520,22953,32,35,7,3,1,13437
0,27829,0,87,39,7,1,1,11744
2624,39552,0,52,39,7,1,1,0
0,39580,0,27,41,7,2,1,0
303,33008,0,50,40,1,1,1,0
0,30763,3046,40,39,7,2,2,0
727,60955,0,42,42,1,1,1,0
240,55174,0,50,35,3,1,1,0
0,58887,0,32,39,6,1,2,0
1424,160394,0,53,43,7,4,1,0
0,8442,0,34,40,1,3,1,0
0,96001,0,56,39,1,1,1,0
0,10033,0,23,39,7,3,2,0
0,47484,0,52,39,1,4,1,0
0,8808,0,33,38,7,1,1,0
4074,41443,0,57,39,1,1,1,0
0,11702,0,54,39,6,2,1,0
392,36029,0,45,45,1,1,1,0
0,160095,0,27,36,4,3,2,2477
0,18208,0,54,42,7,4,1,0
2688,26688,0,85,44,3,1,1,10682
0,53826,23241,35,40,6,2,1,2495
978,48820,0,52,37,1,1,1,15407
1638,116865,11221,39,40,6,2,2,0
0,20784,0,27,37,5,1,2,0
1515,52785,0,37,42,3,1,1,0
1461,174089,0,38,39,1,1,1,0
339,32444,0,70,40,1,2,1,10103
0,9529,0,34,39,7,1,1,3
0,23439,0,32,42,4,1,1,0
2282,141696,0,48,43,3,1,2,0
0,87655,0,54,42,1,1,1,0
396,76872,0,65,42,1,1,1,0
608,47766,0,30,37,1,1,1,0
0,52965,0,23,37,7,2,1,0
0,39221,0,29,38,7,1,1,0
2821,61820,1321,64,35,3,1,2,0
0,63000,0,55,42,1,1,1,0
803,28642,0,54,41,1,1,1,0
0,47444,0,50,39,7,1,2,0
2281,9459,0,85,37,7,2,2,17425
1477,52317,0,83,39,3,1,1,12677
152,10979,0,52,39,5,1,2,0
1401,232335,0,56,42,7,1,2,0
0,20867,0,64,42,1,3,1,2789
0,10892,0,59,35,7,1,2,0
0,25863,0,26,39,1,2,2,0
1485,215065,0,50,43,1,2,1,0
1434,46740,8315,76,39,1,3,2,10046
403,29274,0,21,40,7,1,1,0
295,142270,0,28,39,1,1,1,0
0,72252,0,60,38,1,1,1,0
0,67254,0,30,39,1,1,1,0
0,42122,0,31,37,7,1,1,0
15,25910,22398,74,36,1,1,1,12874
0,45764,0,44,40,7,1,2,0
0,35896,0,44,40,5,2,2,0
4422,269407,0,75,45,1,1,1,12825
1071,46355,0,87,43,1,1,1,9023
956,35863,0,52,40,1,1,1,0
0,14661,0,39,36,7,1,1,0
0,44828,0,52,40,7,2,1,0
0,31710,0,31,38,6,2,1,10592
498,58363,0,54,39,1,1,1,0
303,48281,0,27,40,1,1,1,0
573,33508,0,32,44,1,1,2,0
477,11937,0,37,42,5,1,1,0
0,35286,0,47,45,7,1,1,0
950,28330,0,29,35,1,1,1,0
1027,63990,0,39,42,5,1,1,0
0,47422,0,50,38,6,1,1,0
0,40392,0,50,39,7,2,1,16598
278,21319,3935,44,39,6,2,1,0
412,50146,23219,75,39,5,2,2,0
2565,47890,0,54,39,1,1,2,0
1402,14272,0,75,38,4,1,2,5703
1072,75052,0,75,42,5,1,1,0
420,33424,0,60,41,6,1,1,0
1352,55606,0,31,39,7,4,1,0
0,27427,0,38,42,3,1,1,2478
0,29956,0,46,35,5,1,2,0
4082,49145,0,43,40,1,1,2,0
292,37938,0,53,43,1,1,2,0
408,42666,0,52,37,1,1,1,0
0,8659,0,35,40,6,1,1,0
0,69029,0,44,35,1,2,2,0
836,34923,0,29,38,7,3,2,0
384,21695,0,29,41,1,1,1,0
62,76891,0,42,40,3,1,1,0
633,53935,0,58,42,4,1,2,0
0,54967,0,21,40,7,4,2,0
0,26326,0,31,39,1,1,1,0
0,23403,0,50,35,1,2,1,0
0,75892,0,32,38,1,2,2,0
2794,127623,0,41,39,1,1,2,0
0,101085,0,45,42,1,1,2,0
0,69009,0,45,37,6,2,2,0
0,29249,0,49,39,5,2,2,0
4072,218956,22949,37,45,5,2,2,0
544,49534,0,45,39,1,3,1,0
985,29574,0,42,42,1,1,1,0
0,14442,0,29,42,7,1,2,0
0,27307,0,41,39,1,2,1,5801
2318,365379,162,26,45,7,1,1,0
323,46994,0,37,37,5,2,2,0
0,99643,0,50,44,1,3,1,0
215,31685,0,37,40,7,1,1,0
0,25417,0,37,42,7,1,2,0
331,47114,0,28,38,1,3,1,0
216,1156,0,54,35,7,2,1,0
0,15232,0,41,40,7,1,1,0
0,1,0,44,44,6,4,1,3036
10736,76145,0,56,42,1,4,1,0
0,18150,0,51,35,5,1,1,0
88,89412,0,52,37,5,1,1,0
7341,212457,0,52,35,4,2,2,0
612,74017,3475,30,42,1,1,2,0
0,72797,0,54,42,1,2,2,0
5413,158422,0,54,43,1,1,1,0
14514,52826,0,49,43,1,1,1,10884
0,10319,0,21,39,3,1,2,0
0,73812,0,39,42,7,2,2,0
1730,46619,0,51,40,1,1,2,0
369,36872,0,36,36,5,1,1,0
409,50848,0,65,38,3,2,1,9273
0,45032,0,50,39,7,1,1,0
