tax,income,csp,age,educ,marital,race,sex,ss
35,36372,0,35,40,7,2,1,0
1950,34742,3512,66,40,1,1,1,0
41,21352,3,31,45,7,1,1,8211
7959,68719,0,60,43,1,1,1,0
0,63786,0,47,38,1,1,2,35
832,54964,2,74,43,1,1,2,10716
5,99272,0,59,42,1,1,1,0
88,1,13,45,46,4,4,1,0
0,22372,0,43,39,5,1,1,0
1594,416,1,90,38,7,1,2,7847
12,16317,0,33,34,5,2,2,0
158,46684,0,48,43,7,4,1,21
3554,50946,4,45,43,7,1,2,0
1107,36621,5,45,39,1,1,1,4
15,24308,0,34,39,5,1,1,7
1306,6179,2,66,39,1,1,1,0
662,103100,0,64,38,1,1,1,0
801,6703,0,37,43,4,1,1,10423
8069,65610,23917,58,40,5,1,2,4229
647,53207,0,56,38,1,1,1,0
147,43960,0,81,34,4,1,2,7502
1200,59875,0,37,36,5,1,2,12152
13,19769,0,53,42,7,1,2,0
0,81954,0,40,40,7,1,1,33
2631,118700,0,60,36,7,1,2,0
3270,14056,4,36,36,7,1,1,0
2478,21394,0,64,39,1,1,1,0
27,10067,0,82,34,5,1,1,8841
1516,20747,0,34,38,1,1,2,0
2,51375,0,37,39,1,1,1,4
928,463,4,77,39,1,1,2,10757
48,80389,2,29,40,1,1,1,0
981,58295,0,51,43,7,1,1,0
2436,29718,0,83,43,1,1,1,0
1524,19520,0,80,40,1,1,1,4773
44,1644,0,61,39,7,1,2,0
31,31351,0,36,43,5,1,1,2
3319,51771,8447,46,40,1,1,2,0
1682,58574,10116,44,43,1,1,1,0
0,18100,0,88,39,5,1,2,11
3543,17370,7,71,39,6,1,2,9174
469,38726,0,72,34,4,1,1,5782
76,49982,0,58,39,1,1,1,0
4336,65503,0,51,39,1,1,1,12
734,23639,3819,79,40,7,3,2,5777
5625,12145,0,90,43,1,1,1,0
608,19510,0,43,40,1,1,2,0
53,107741,0,52,42,1,1,1,26
44,40337,0,81,43,3,1,1,9639
555,72519,0,41,39,5,1,2,11
11,5557,0,46,36,5,2,2,6242
599,14936,0,72,39,3,1,1,0
1619,35103,0,35,43,1,1,1,0
1222,55146,7,27,39,1,1,1,3
491,19107,0,88,40,1,1,1,15
0,81925,0,36,33,5,1,1,0
453,39631,0,81,45,1,1,2,4
15,35103,1,24,35,1,1,1,14
0,10827,3,15,33,4,1,1,4167
68,6045,3,68,40,1,1,2,3834
2495,74581,0,59,39,1,1,1,0
1029,68464,0,58,40,1,1,1,0
0,28557,0,44,39,1,1,2,26
