tax,income,csp,age,educ,marital,race,sex,ss
422,45275,0,53,39,5,1,2,0
422,63754,0,47,35,5,1,1,0
1140,138754,0,53,39,1,1,1,0
1,12389,2,60,35,7,1,2,0
2331,27282,0,23,39,1,1,1,0
1,12389,0,34,43,5,1,2,0
4162,83250,0,47,35,1,1,1,0
1140,45275,0,40,43,1,1,1,0
4162,27282,3,47,42,5,4,2,0
1,12389,8,29,42,7,2,2,0
2331,45275,0,47,42,1,1,2,0
1140,83250,0,47,42,1,1,1,0
422,27282,0,75,39,1,1,1,10679
1140,138754,4,34,39,1,1,1,0
1140,63754,0,75,42,5,1,2,13287
4162,45275,0,40,42,7,1,1,0
422,27282,0,75,43,5,1,2,2485
422,63754,1,75,39,4,1,2,5809
2331,83250,0,29,43,1,1,1,0
2331,83250,0,47,39,1,1,2,0
422,236051,0,53,43,5,1,2,0
1,45275,0,60,39,1,1,1,8404
422,27282,6,40,39,1,2,1,0
1,27282,0,83,39,1,1,2,10679
1,27282,0,68,39,1,1,2,10679
2331,83250,0,53,39,1,1,2,0
1140,27282,0,40,42,1,1,1,0
4162,27282,0,29,39,7,1,2,0
1140,104340,4,40,39,1,1,2,0
1,12389,0,29,37,1,1,1,0
1,27282,0,68,32,1,1,1,11956
1140,12389,0,75,42,4,1,2,11956
2331,138754,0,34,35,5,1,1,0
2331,63754,5,68,40,1,1,2,0
422,12389,0,75,39,1,1,1,10679
2331,63754,0,53,45,1,1,1,0
422,45275,0,23,39,1,1,2,0
422,27282,0,34,39,1,1,1,0
1,27282,0,29,39,7,1,1,0
1,12389,0,60,42,1,1,1,0
1,12389,0,40,39,4,1,2,0
1,12389,0,47,39,5,1,2,0
422,63754,0,47,39,1,1,1,0
2331,63754,0,40,39,1,1,1,0
422,45275,0,68,39,1,1,1,10679
1140,27282,0,53,39,1,1,1,0
1,12389,0,83,39,7,1,1,0
2331,45275,0,29,40,1,1,2,0
1,12389,4,34,42,1,1,1,0
1140,45275,0,34,42,1,1,2,0
422,27282,0,53,37,1,1,2,0
422,27282,0,83,39,1,1,1,0
2331,12389,0,47,39,7,1,1,0
422,27282,5,40,42,1,1,1,0
4162,27282,0,68,42,1,1,1,5809
1140,104340,0,40,39,1,1,2,0
1,83250,0,53,39,1,1,1,0
422,83250,0,23,37,1,1,1,0
1140,63754,1,60,39,1,1,1,0
4162,104340,0,23,39,1,1,2,0
1140,27282,0,47,39,7,1,1,0
2331,63754,1,40,39,1,1,2,0
1140,83250,0,68,39,1,1,2,10679
1140,83250,0,68,42,1,1,1,0
1,83250,0,47,39,1,1,1,0
1,138754,0,47,43,1,1,1,0
1140,27282,0,34,42,1,1,2,0
1,27282,0,23,39,7,1,2,0
2331,27282,0,53,39,4,1,2,0
