"tax","income","csp","age","educ","marital","race","sex","ss"
120,2451,0,69,"32","4","1","2",0
800,74456,1000,34,"43","5","1","2",0
0,20942,0,32,"32","1","1","1",0
840,34800,0,49,"39","1","1","1",0
0,25200,0,44,"40","1","1","1",9906
585,16512,0,45,"39","4","1","2",0
0,13000,0,43,"39","1","3","1",8064
0,55000,0,45,"36","1","1","1",7680
4200,87748,0,47,"39","5","1","1",0
0,47000,0,49,"35","1","1","1",0
1300,83830,0,54,"35","1","1","2",0
400,14840,0,77,"39","1","1","1",6764
0,25042,0,34,"39","7","1","1",0
0,55000,0,61,"39","4","1","1",0
1381,35000,0,65,"39","1","1","1",5346
827,86426,0,28,"43","7","1","1",0
4000,55603,0,50,"43","3","1","1",0
0,3137,5200,32,"43","1","1","1",0
0,30000,0,23,"43","7","1","2",0
1081,20392,0,53,"41","1","1","1",0
1200,71148,0,52,"40","1","1","1",0
554,20484,0,70,"34","1","1","1",8946
0,44000,0,28,"35","5","1","1",0
2100,103537,0,45,"42","2","2","1",0
1420,105000,0,34,"40","1","1","1",0
600,42021,0,36,"40","1","1","2",0
800,107000,0,77,"43","1","1","1",10746
1200,162000,0,52,"41","1","1","2",0
0,27110,0,23,"44","7","1","2",0
0,20000,0,20,"39","3","1","2",0
320,68608,0,37,"40","1","1","1",0
0,45434,0,31,"36","1","1","1",1848
0,35300,0,41,"39","7","1","1",0
1200,51102,0,78,"35","1","1","1",14946
14400,57000,0,31,"39","1","2","2",0
940,13644,0,71,"34","4","1","2",10146
0,26520,0,24,"39","1","1","2",0
660,85301,0,59,"40","1","1","1",0
113,33016,0,35,"39","1","1","1",0
434,61516,0,45,"42","1","1","1",0
0,27000,0,32,"39","1","1","1",0
0,48000,0,39,"39","6","1","1",0
493,43734,0,42,"42","1","1","1",0
0,25667,0,44,"39","5","1","2",0
2500,56704,0,72,"39","1","1","2",5346
5200,56153,0,66,"43","1","1","1",0
458,20871,0,49,"39","5","1","1",0
1022,103781,0,51,"42","1","1","1",0
1180,62926,0,53,"40","1","1","1",0
380,35200,0,45,"40","7","1","2",0
7,24000,0,88,"40","1","1","1",3090
0,80110,0,57,"42","1","1","1",0
2200,90162,0,65,"40","1","1","1",13680
2000,69860,0,77,"44","1","1","1",11546
60,27000,0,90,"39","4","1","2",14546
1400,53126,0,43,"41","1","1","1",0
300,80046,0,40,"43","1","1","1",0
419,58612,0,40,"43","5","1","1",0
3800,81837,0,39,"43","1","1","1",0
3000,127150,0,49,"39","1","1","2",0
563,24593,0,74,"43","4","1","1",16674
866,39400,0,53,"39","1","1","1",0
200,44990,0,35,"39","5","1","2",0
2200,100284,0,35,"43","1","1","2",0
860,68256,0,35,"44","7","1","1",0
2750,96838,0,18,"36","7","1","1",0
0,8258,0,25,"34","7","1","2",0
0,30108,0,32,"38","7","1","2",0
0,3000,0,63,"43","5","1","2",0
1008,86561,0,65,"39","1","2","2",10744
0,18000,0,27,"39","1","1","2",0
851,24740,0,78,"34","1","1","1",3445
0,26000,0,21,"40","7","1","2",0
2227,61883,0,32,"39","7","1","1",0
4500,189905,0,48,"44","1","1","2",0
1850,88850,0,52,"39","1","1","1",0
9300,75074,0,63,"39","1","1","2",5226
3570,277346,0,58,"43","1","1","2",0
1022,55081,0,37,"43","1","1","2",0
200,25900,0,71,"40","1","1","1",11346
224,23862,0,38,"39","4","1","2",0
0,91509,0,47,"43","1","1","1",0
0,31200,0,47,"39","1","1","1",0
0,9029,0,50,"36","6","2","2",0
0,12120,0,78,"39","4","1","1",0
935,4240,0,57,"36","1","2","1",0
200,14620,0,64,"35","1","1","2",5886
0,12000,0,82,"34","4","4","1",9408
3764,11782,0,73,"34","4","1","2",11196
0,46042,0,43,"43","4","2","1",0
1900,4906,0,56,"39","1","1","1",0
0,57458,1200,47,"39","5","3","2",0
0,17837,0,53,"39","4","1","2",0
0,25000,0,37,"39","1","2","1",0
403,43120,0,38,"39","5","1","1",0
680,60884,0,33,"43","1","1","2",0
3000,112127,0,45,"45","1","1","1",0
260,17100,0,78,"39","7","1","2",0
650,52880,0,66,"37","1","1","1",11346
742,50546,0,51,"40","5","1","1",0
562,28451,0,39,"39","5","1","2",0
3000,117199,0,64,"40","5","2","2",0
220,92025,0,35,"40","7","1","2",0
0,24796,0,33,"41","1","2","2",0
700,47552,0,55,"40","1","1","1",0
0,20000,0,34,"37","6","1","2",0
0,70231,0,36,"43","1","1","2",0
0,7408,0,36,"39","5","1","2",0
935,116569,0,50,"43","1","1","1",0
514,57613,0,51,"44","1","1","1",0
894,39035,0,64,"40","1","1","1",1100
0,5000,0,30,"40","7","1","2",0
0,8130,0,31,"39","5","1","1",0
300,220664,2500,36,"43","1","1","1",0
5000,57042,0,62,"40","1","1","1",0
0,6786,0,43,"40","5","1","2",0
700,65105,0,70,"44","3","1","1",13746
220,37050,0,32,"40","7","1","2",0
1666,7,0,41,"34","5","1","2",0
1400,153314,0,16,"36","7","1","2",0
0,35000,0,47,"40","5","1","2",0
2000,25030,0,23,"37","7","1","1",0
2100,85600,0,48,"43","1","1","2",0
1300,76806,0,56,"41","1","1","1",11316
505,4014,0,57,"34","5","1","2",0
560,19300,0,79,"41","7","2","2",6330
1200,19770,0,71,"39","1","1","1",13600
0,24000,0,30,"38","7","1","2",0
0,11674,0,41,"40","5","2","1",0
900,31203,0,38,"39","5","1","1",0
3000,40000,2880,56,"43","5","1","2",0
4900,134047,0,30,"43","1","1","1",0
0,11400,0,39,"36","7","2","2",0
0,67020,0,50,"39","1","1","1",0
600,107300,340,35,"43","1","1","2",0
450,34575,0,44,"39","7","1","1",0
0,10300,0,51,"33","6","1","2",0
0,61018,0,47,"39","1","1","2",0
2768,52573,0,54,"37","1","2","1",0
0,56000,0,42,"39","1","1","1",0
659,6075,0,57,"44","1","1","2",0
1800,145952,0,47,"43","1","2","1",0
242,82000,0,61,"40","1","1","1",0
2567,21564,0,53,"39","5","1","1",0
3000,75824,0,67,"36","1","1","1",7869
0,104392,0,43,"42","1","1","1",0
0,62270,0,52,"39","1","1","2",0
0,27900,0,52,"35","5","1","1",0
466,72500,0,60,"41","4","2","2",7902
800,49258,0,51,"39","5","1","2",0
0,35512,0,21,"39","7","1","2",0
0,12954,0,25,"38","7","1","2",0
2000,155200,0,48,"42","1","2","1",0
0,38302,0,67,"39","1","2","2",4920
300,11593,0,77,"36","5","1","1",2946
2880,294932,0,59,"43","1","2","1",0
0,123985,0,43,"45","1","1","2",0
961,35932,0,38,"37","1","1","1",0
1300,67030,0,44,"40","1","1","2",0
0,62577,0,30,"39","1","1","1",0
1213,75500,0,49,"43","1","1","1",0
782,25682,0,61,"42","1","1","1",0
0,21810,0,22,"39","7","1","1",0
0,90798,0,28,"43","1","4","1",0
450,14016,0,67,"35","4","2","2",4506
0,7328,0,37,"39","1","1","1",0
1455,49410,0,64,"42","1","1","2",5592
0,25000,0,36,"39","1","1","2",0
1100,42510,0,63,"44","1","1","1",5350
3600,235569,0,57,"39","1","1","2",0
0,11780,0,72,"39","4","1","2",10800
0,30000,0,34,"40","1","1","1",0
0,48122,0,41,"39","7","1","1",0
1639,9892,0,77,"35","1","1","1",5394
1600,39735,0,31,"43","1","4","2",0
1161,152000,0,48,"45","1","1","1",0
300,39224,0,79,"43","7","1","1",6570
384,75000,0,56,"40","1","1","1",0
1600,15570,0,79,"39","5","1","2",8642
0,72916,0,22,"39","7","1","1",0
0,4800,0,37,"36","7","1","2",0
0,41114,0,31,"43","1","1","1",0
0,34000,0,32,"43","1","1","1",0
3600,141000,0,61,"43","1","1","1",0
0,36696,0,69,"39","4","1","2",11598
0,61664,0,60,"43","5","1","2",0
1935,66315,0,38,"39","1","1","2",0
30,33916,0,42,"39","1","1","2",0
0,46020,0,58,"43","4","4","1",0
250,115080,0,46,"42","7","1","2",0
3000,61200,0,29,"43","1","1","2",0
0,21273,0,21,"40","7","1","1",0
166,30188,0,53,"43","6","1","2",0
2800,130150,0,64,"39","1","1","1",6000
906,12540,0,53,"39","1","1","1",0
0,19509,0,39,"41","7","1","1",0
0,23150,0,31,"39","1","1","2",0
0,73285,0,26,"40","1","1","2",0
0,34800,0,26,"43","7","2","2",0
950,57720,0,47,"40","1","1","2",0
500,81700,2040,40,"39","1","1","2",0
1400,81020,0,36,"39","1","1","1",0
2100,69773,0,78,"39","4","1","2",12498
0,91500,0,29,"43","1","1","2",0
3104,128649,0,41,"43","1","2","2",0
600,20838,0,78,"34","1","1","1",14946
0,346564,0,26,"39","1","1","2",0
0,10740,0,58,"44","6","4","2",0
492,84684,0,51,"39","1","1","2",0
2300,56792,0,33,"40","1","1","2",0
320,24352,0,44,"32","1","1","1",10146
0,60000,0,29,"44","1","1","1",0
3162,26284,0,30,"43","5","1","2",0
340,29568,0,66,"39","4","1","2",12438
1500,63100,0,57,"40","4","1","1",0
0,8356,0,26,"35","7","1","2",0
0,27010,0,32,"40","1","1","1",0
1400,91557,6000,36,"40","5","1","2",0
0,10162,0,28,"39","1","1","1",0
0,37000,0,28,"39","1","1","1",0
3096,77624,0,59,"40","1","1","1",0
3365,24749,0,65,"39","1","1","1",11836
85,116620,0,39,"40","1","1","2",0
2800,91927,0,57,"43","1","1","1",0
864,43000,0,64,"39","1","1","1",13446
1100,164004,0,53,"43","1","1","1",0
0,28020,0,31,"42","7","1","2",0
9997,70379,0,33,"43","7","1","1",0
550,22379,0,77,"39","1","1","1",13746
0,13088,0,53,"39","5","1","2",0
0,44000,0,34,"43","7","2","1",0
6231,128579,0,46,"39","1","1","1",0
3300,83400,0,47,"40","1","2","2",0
0,74920,0,54,"41","1","1","1",0
1200,42400,0,35,"39","1","1","1",0
11000,154519,0,59,"44","1","1","1",0
0,23248,0,21,"39","7","2","1",0
400,43009,0,61,"33","5","2","2",14946
0,26850,0,30,"41","1","2","2",0
165,64200,0,28,"43","1","1","1",0
0,28000,0,66,"37","1","1","1",12000
2600,35192,0,36,"39","1","1","1",0
2002,114616,0,29,"43","1","1","1",0
