"tax","income","csp","age","educ","marital","race","sex","ss"
120,17692,0,66,"39","1","1","2",6546
800,43523,0,54,"40","1","1","1",0
0,72082,0,57,"40","4","1","1",0
840,46874,0,65,"35","1","1","1",0
0,27142,0,51,"40","5","1","2",0
585,40736,0,39,"43","6","1","1",0
0,60598,0,46,"40","7","1","1",0
0,30218,0,43,"40","7","1","1",0
4200,60050,0,36,"43","1","2","1",0
0,56400,0,53,"40","5","1","1",0
1300,67602,0,32,"39","1","1","2",0
400,22052,0,70,"39","1","1","2",7638
0,74275,0,31,"35","1","1","1",0
0,2590,0,20,"40","7","1","2",0
1381,23672,0,43,"43","1","1","1",0
827,21298,0,53,"40","5","1","2",0
4000,115169,0,52,"44","1","1","2",0
0,8190,0,62,"33","5","1","1",3858
0,40350,0,52,"44","5","1","2",0
1081,75700,0,51,"40","1","1","1",0
1200,18200,0,77,"40","1","1","1",11718
554,57000,0,29,"43","1","1","2",0
0,16646,924,41,"41","5","1","2",0
2100,175800,0,49,"44","1","1","2",0
1420,59550,0,36,"40","5","1","1",0
600,26509,0,61,"40","1","1","1",0
800,34348,0,73,"39","1","1","1",12546
1200,82920,0,34,"43","7","1","2",0
0,61800,0,36,"41","1","1","1",0
0,92620,0,27,"40","7","1","1",0
320,55056,0,54,"35","1","1","1",11352
0,22706,0,24,"41","7","1","2",0
0,104284,0,55,"43","1","1","1",0
1200,34074,0,73,"34","1","1","1",11132
14400,53561,0,75,"39","1","2","2",0
940,267001,0,44,"43","1","1","1",0
0,42646,2400,39,"39","7","1","2",3384
660,70083,0,32,"39","1","1","1",0
113,47484,0,44,"40","1","1","1",0
434,44100,0,41,"39","5","1","2",6546
0,50000,0,30,"41","1","1","1",0
0,60000,0,53,"40","1","1","2",0
493,51044,0,44,"40","1","1","2",0
0,44110,0,21,"39","7","1","2",0
2500,59800,0,43,"43","1","2","1",0
5200,25006,0,72,"39","4","3","1",12546
458,23000,0,23,"40","7","1","1",0
1022,121200,0,36,"40","1","1","2",0
1180,51195,0,54,"41","6","1","1",0
380,20403,0,57,"40","6","1","2",19746
7,21852,0,72,"39","6","1","1",2994
0,46437,0,47,"39","1","1","2",0
2200,54000,0,27,"40","7","1","1",0
2000,66268,0,45,"45","7","1","1",0
60,22220,0,31,"34","1","1","2",0
1400,55443,0,29,"39","1","1","1",0
300,49150,0,47,"40","1","1","2",0
419,18000,0,36,"39","1","1","1",0
3800,132369,0,52,"44","1","1","1",0
3000,67777,0,42,"42","5","1","1",0
563,15926,0,23,"43","7","1","2",0
866,30081,0,29,"40","1","1","2",0
200,26292,0,36,"36","7","1","2",0
2200,26860,0,47,"42","1","1","1",0
860,55234,0,61,"35","1","1","2",9816
2750,122000,0,46,"41","1","1","1",0
0,35540,0,51,"40","5","1","1",0
0,409111,3600,37,"39","1","1","2",0
0,3014,0,28,"39","7","4","2",0
1008,103598,0,39,"44","1","1","2",0
0,13000,0,35,"33","7","1","2",7050
851,111000,0,80,"44","1","1","1",9846
0,26152,0,27,"43","7","1","1",0
2227,12400,0,68,"44","4","1","2",10986
4500,102600,0,45,"39","3","1","2",0
1850,25674,0,46,"39","1","1","1",0
9300,11954,0,67,"34","7","1","2",2226
3570,32414,0,37,"39","7","1","1",0
1022,97607,0,30,"39","1","1","1",0
200,26000,0,24,"41","1","1","1",0
224,17000,0,72,"36","4","1","2",10746
0,69260,0,42,"39","1","1","1",0
0,37687,0,79,"40","4","1","2",14922
0,2246,0,25,"40","7","4","2",0
0,19354,0,29,"40","7","2","2",0
935,56916,0,53,"44","5","1","2",0
200,111730,0,52,"43","1","1","1",0
0,21000,0,31,"43","7","1","2",0
3764,107900,0,40,"39","1","1","1",0
0,101500,0,41,"39","5","1","1",0
1900,32000,0,36,"39","7","1","1",0
0,14658,0,77,"39","4","1","2",8946
0,15000,0,30,"41","1","2","2",0
0,4176,0,90,"34","4","2","2",2694
403,46450,0,56,"44","1","1","1",0
680,21408,0,67,"39","4","1","2",6222
3000,184044,0,58,"43","1","1","1",0
260,11444,0,44,"40","1","3","2",0
650,53051,0,27,"40","1","1","2",0
742,27036,0,54,"43","7","1","1",0
562,9906,0,67,"43","4","1","2",4000
3000,94962,0,32,"43","1","1","1",0
220,22632,0,65,"34","5","1","1",9908
0,30000,0,41,"43","3","1","1",0
700,40674,0,73,"40","1","1","1",11346
0,68518,0,29,"43","5","1","2",0
0,51280,0,39,"39","1","1","1",0
0,8500,0,20,"40","7","1","1",0
935,53608,3600,40,"40","1","2","2",0
514,44000,0,41,"43","1","1","1",0
894,57418,0,47,"43","1","1","2",0
0,79750,0,48,"40","1","1","1",0
0,23952,0,88,"45","4","2","1",0
300,27974,0,37,"42","5","1","1",0
5000,102000,0,62,"40","1","1","1",0
0,35560,0,57,"34","5","1","1",0
700,25546,0,76,"39","1","1","1",11586
220,39921,0,65,"34","1","1","1",11058
1666,45699,0,67,"43","1","1","1",13686
1400,50334,0,31,"39","1","1","1",0
0,19005,1000,35,"39","1","1","2",0
2000,97600,0,35,"40","1","1","1",0
2100,40423,0,57,"39","1","4","1",0
1300,57902,0,45,"39","1","2","2",0
505,18280,0,53,"34","1","1","1",0
560,25000,0,63,"40","7","1","2",3954
1200,50800,0,26,"39","7","1","1",0
0,13000,0,50,"36","1","1","1",5346
0,36400,0,29,"39","5","1","1",0
900,36540,0,79,"43","1","1","1",13428
3000,110363,0,68,"45","1","1","1",12390
4900,68549,0,58,"39","1","1","1",0
0,500,0,34,"43","1","1","1",0
0,102637,0,24,"40","7","1","2",0
600,60060,0,71,"38","4","2","1",4400
450,12220,0,70,"34","1","1","2",5346
0,18071,4080,49,"39","7","1","2",0
0,76296,0,56,"44","5","1","1",0
2768,37916,0,84,"43","1","1","1",14319
0,17002,0,23,"43","7","1","2",0
659,19140,0,60,"39","5","1","2",0
1800,83014,0,44,"44","1","1","2",0
242,18946,0,76,"34","1","1","1",13092
2567,70500,0,47,"39","5","1","2",0
3000,44280,0,38,"40","5","1","2",0
0,22098,0,35,"39","1","1","2",0
0,20400,0,27,"43","1","1","1",0
0,52500,0,56,"39","1","1","2",0
466,23000,0,71,"35","1","1","1",10662
800,26236,0,66,"39","1","1","1",14850
0,92610,0,40,"46","7","1","1",0
0,21010,0,49,"39","3","1","2",0
2000,44700,0,80,"39","1","1","1",10146
0,17112,0,49,"39","6","2","2",0
300,12744,0,85,"39","4","1","2",10218
2880,74019,0,64,"44","1","1","1",0
0,10903,0,53,"36","6","1","2",0
961,70646,0,67,"42","1","1","1",0
1300,60500,0,40,"39","1","1","2",0
0,45257,0,25,"43","7","4","1",0
1213,78470,0,33,"39","1","1","2",0
782,49010,0,41,"42","1","1","1",0
0,29161,0,30,"43","7","1","2",0
0,29000,0,50,"39","1","1","1",0
450,94032,0,41,"42","1","1","2",0
0,52350,0,49,"39","5","1","2",0
1455,59248,0,59,"39","4","1","1",6252
0,10137,0,56,"39","1","1","1",0
1100,89840,0,28,"43","7","1","1",0
3600,98500,0,38,"39","1","1","1",0
0,32544,0,25,"39","5","1","1",0
0,2000,0,20,"39","7","1","2",0
0,43050,0,25,"39","7","1","1",0
1639,84200,0,53,"40","5","1","1",0
