"tax","income","csp","age","educ","marital","race","sex","ss"
120,26000,0,37,"40","1","1","1",0
800,38146,0,21,"33","1","1","1",0
0,100200,0,72,"39","1","4","1",0
840,73590,0,24,"39","7","1","1",0
0,22047,0,70,"41","1","1","2",0
585,13000,0,26,"40","5","1","1",0
0,37030,0,36,"40","1","1","1",0
0,32476,0,46,"40","1","1","1",0
4200,59056,0,79,"42","1","1","1",0
0,78622,0,83,"39","4","2","2",7636
1300,85000,0,29,"43","3","1","1",0
400,18645,0,52,"39","1","1","1",0
0,43320,0,22,"39","7","1","2",0
0,22052,0,33,"39","7","1","2",0
1381,12478,0,55,"43","1","1","2",0
827,19680,0,48,"37","1","1","1",0
4000,106750,0,32,"39","1","1","1",0
0,110000,0,45,"39","5","1","2",0
0,69274,0,32,"35","3","1","2",0
1081,131801,0,71,"45","1","1","1",7188
1200,97010,0,51,"39","1","1","2",0
554,4638,0,22,"34","1","1","2",0
0,26083,0,48,"39","5","1","2",0
2100,59424,0,50,"40","1","1","1",0
1420,61654,0,47,"43","1","1","1",0
600,72050,0,89,"43","1","1","1",6546
800,78135,0,48,"39","1","1","1",0
1200,90284,0,56,"39","1","1","1",0
0,34001,0,59,"38","6","1","2",0
0,110400,0,86,"42","1","1","1",0
320,35035,0,25,"39","7","1","2",0
0,39258,0,29,"40","7","4","2",0
0,61900,0,65,"33","1","1","1",0
1200,35080,0,44,"43","1","1","1",0
14400,430812,0,51,"44","1","1","1",0
940,14526,0,70,"39","4","1","1",4800
0,15669,0,63,"37","4","1","2",10746
660,62214,0,37,"40","1","1","1",0
113,25575,0,55,"36","1","1","1",0
434,26918,0,83,"40","1","1","1",3588
0,47027,0,22,"44","2","1","2",0
0,20107,0,38,"40","7","1","1",4746
493,18946,0,42,"39","5","1","2",0
0,21201,0,81,"39","4","1","1",5118
2500,13102,0,81,"39","4","1","2",0
5200,29000,0,46,"37","1","1","1",0
458,34177,0,47,"37","1","2","1",0
1022,60754,0,57,"44","1","1","1",4580
1180,58820,0,24,"40","7","1","1",0
380,111148,0,42,"43","1","1","1",0
7,50010,0,47,"35","1","1","1",0
0,28000,0,70,"39","1","1","1",7566
2200,66417,0,58,"43","1","1","1",9486
2000,42736,0,44,"39","7","1","2",0
60,77124,0,37,"41","3","1","2",0
1400,26000,0,75,"34","3","1","1",0
300,59081,0,86,"37","1","1","1",10146
419,33190,0,40,"39","1","1","1",0
3800,71132,0,46,"43","1","1","1",0
3000,275013,0,35,"43","1","4","1",0
563,36568,0,53,"33","1","1","1",0
866,59553,0,23,"40","6","1","2",0
200,56950,0,63,"36","6","1","1",0
2200,6000,0,69,"39","4","1","1",8934
860,32240,0,37,"39","7","2","1",0
2750,27090,0,78,"40","5","1","1",6126
0,106497,0,45,"42","1","1","2",0
0,80376,0,64,"43","1","1","1",0
0,33769,0,41,"44","1","1","1",0
1008,103200,0,45,"39","1","1","1",0
0,86100,0,52,"43","5","1","2",0
851,120800,0,83,"42","1","1","1",7398
0,36300,0,32,"40","5","2","1",0
2227,48400,0,52,"43","5","1","1",0
4500,83580,0,43,"42","1","1","1",0
1850,900,0,47,"43","6","1","2",0
9300,76553,0,70,"40","1","2","1",0
3570,36318,0,29,"41","1","1","1",0
1022,22408,0,23,"37","7","1","1",0
200,7086,0,55,"40","7","1","2",0
224,24000,0,47,"36","5","1","2",0
0,19101,0,82,"39","4","1","2",12030
0,29306,0,50,"37","7","1","1",0
0,18249,0,60,"39","1","1","1",0
0,254664,0,73,"43","1","4","1",10080
935,71000,0,38,"39","1","1","1",0
200,60578,0,82,"34","1","1","1",850
0,21500,0,68,"39","4","1","2",6520
3764,30005,0,68,"40","1","1","1",8400
0,25,0,49,"40","5","1","2",0
1900,10946,0,63,"37","1","1","1",5500
0,58492,0,52,"44","5","1","2",0
0,75500,0,71,"41","5","1","1",0
0,26004,0,27,"37","7","1","2",0
403,29546,0,70,"44","4","1","2",11346
680,19500,0,43,"41","1","2","1",0
3000,101011,0,69,"40","1","1","1",0
260,32294,0,53,"39","1","1","2",0
650,58540,0,55,"39","1","1","1",8678
742,93304,0,54,"40","1","1","1",0
562,19666,0,50,"35","1","1","1",0
3000,99710,0,50,"42","1","1","1",0
220,66655,0,48,"44","5","1","1",0
0,7776,0,26,"39","7","1","1",0
700,2600,0,54,"39","7","1","1",5322
0,173239,0,35,"40","1","4","1",0
0,49042,0,26,"44","1","1","2",0
0,8000,0,52,"34","1","1","1",0
935,89860,0,74,"39","1","2","1",0
514,50000,0,26,"43","7","1","2",0
894,5056,0,41,"39","7","2","2",0
0,45200,0,81,"36","4","1","2",11118
0,34742,0,53,"39","7","2","2",7746
300,11887,0,38,"37","7","1","1",0
5000,66000,0,56,"40","1","1","2",0
0,29268,0,44,"40","5","1","1",0
700,145678,0,26,"45","1","4","2",0
220,13546,0,33,"42","5","1","1",0
1666,123450,0,63,"44","7","1","2",0
1400,46886,0,22,"42","1","1","2",0
0,40873,0,83,"36","1","1","1",0
2000,25348,0,60,"45","1","1","2",0
2100,20301,0,30,"40","1","1","1",0
1300,15788,0,73,"39","4","1","2",12612
505,23040,0,82,"40","5","1","2",0
560,58677,0,69,"39","1","1","1",0
1200,42200,0,30,"39","5","1","1",0
0,143056,0,64,"43","1","1","2",954
0,27000,0,73,"39","4","1","2",5226
900,126000,0,43,"39","1","1","2",0
3000,106060,0,47,"39","1","1","1",0
4900,72980,0,27,"44","1","1","2",0
0,47000,0,30,"40","1","4","1",0
0,29000,0,41,"39","1","2","1",0
600,35000,0,56,"40","1","1","2",0
450,124270,0,36,"43","1","1","2",0
0,183641,0,63,"45","1","1","1",12670
0,14046,0,32,"38","7","2","1",0
2768,18020,0,70,"39","4","1","2",14886
0,1513,0,76,"39","1","1","1",1352
659,71749,0,38,"39","1","1","1",6606
1800,53425,0,54,"43","7","1","2",0
242,8946,0,49,"39","1","1","2",0
2567,34848,0,71,"40","1","1","1",6000
3000,94697,0,62,"40","1","1","1",0
0,5139,0,36,"36","1","1","2",0
0,40000,0,67,"34","1","1","1",0
0,16108,0,51,"40","3","1","1",0
466,68050,0,33,"37","7","1","2",0
800,29000,0,29,"43","7","1","1",0
0,40000,0,53,"37","7","2","1",0
0,46024,0,57,"37","1","1","1",0
2000,59025,0,57,"39","1","1","1",0
0,109000,0,30,"39","1","1","1",0
300,67500,0,57,"40","1","1","1",0
2880,61400,0,23,"39","7","1","1",0
0,103510,0,24,"43","1","1","2",0
961,141088,0,45,"43","1","1","1",0
1300,11492,0,35,"39","1","1","1",0
0,78968,0,35,"39","1","1","2",0
1213,59795,0,41,"39","1","1","2",0
782,44000,0,42,"40","6","1","2",0
0,125000,0,48,"40","1","1","2",0
0,61100,0,40,"40","1","1","1",0
450,36300,0,38,"42","1","2","2",0
0,9406,0,49,"40","1","1","1",0
1455,235645,0,54,"42","1","1","1",0
0,15625,0,23,"44","7","2","2",0
1100,65116,0,49,"43","1","1","2",0
3600,38651,0,74,"43","1","1","1",0
0,18720,0,34,"33","1","1","1",0
0,30740,0,56,"39","1","1","1",0
0,70100,0,21,"43","5","1","2",0
1639,15618,0,40,"39","1","1","1",0
1600,8763,0,41,"39","3","2","1",0
1161,30486,0,29,"39","1","1","1",0
300,11310,0,38,"40","5","2","1",0
384,83778,0,43,"43","1","1","2",0
1600,38000,0,58,"39","5","1","2",0
0,39004,0,44,"40","7","1","1",0
0,268641,0,27,"44","1","1","1",0
0,28095,0,59,"44","5","1","1",0
0,155050,0,25,"39","1","1","1",0
3600,30728,0,76,"39","4","1","2",0
0,8300,0,38,"43","5","2","2",0
0,158319,0,36,"42","1","1","1",0
1935,84974,0,43,"39","1","4","1",0
30,35279,0,31,"37","1","2","2",0
0,79612,0,52,"44","5","2","2",0
250,47596,0,51,"43","1","1","2",0
3000,66130,0,39,"39","1","1","2",0
0,118000,0,32,"43","1","1","2",0
166,86433,0,49,"45","5","1","2",3600
2800,229339,0,28,"45","1","1","1",0
906,45134,0,49,"39","7","1","2",8725
0,79015,0,77,"39","4","1","2",9700
0,114600,0,22,"44","1","1","1",0
0,18940,0,45,"39","5","2","2",0
0,65577,0,23,"39","1","1","2",0
950,44609,0,46,"40","6","1","2",0
500,56200,0,73,"40","4","1","2",10146
1400,104040,0,22,"43","7","1","2",0
2100,20930,0,50,"39","5","2","2",0
0,35268,0,31,"39","1","1","2",0
3104,10152,0,75,"43","4","1","2",9408
600,13846,0,49,"37","7","2","2",0
0,98129,0,40,"39","1","1","2",0
0,96026,0,46,"39","1","2","1",0
492,10692,0,37,"42","7","1","1",11180
2300,52500,0,84,"39","5","1","1",10146
320,72649,0,42,"44","1","1","2",0
0,106372,0,51,"39","1","1","1",0
3162,23800,0,71,"39","4","1","2",0
340,16051,0,61,"42","4","3","2",0
1500,61999,0,47,"43","1","1","2",0
0,14010,0,50,"39","1","1","1",0
0,72000,0,27,"43","5","1","2",0
1400,48300,0,44,"43","1","1","1",0
0,36299,0,41,"39","7","1","2",0
0,16000,0,45,"39","1","1","1",0
3096,68059,0,64,"41","1","1","1",0
3365,3071,0,42,"41","1","2","2",0
85,100237,0,49,"39","1","1","1",0
2800,44000,0,66,"34","1","1","1",6558
864,17154,0,64,"36","5","1","2",8648
1100,9458,0,46,"32","5","1","2",0
0,84004,0,72,"39","4","1","2",8922
9997,44938,0,44,"40","1","1","2",0
550,60000,0,30,"40","1","1","1",0
0,167000,0,53,"46","1","1","1",0
0,38746,0,61,"39","1","1","1",0
6231,68000,0,46,"39","1","1","1",0
3300,51300,0,71,"39","5","1","2",4000
0,36958,0,44,"41","5","2","2",0
1200,95300,0,26,"44","1","4","2",0
11000,65100,0,57,"39","1","1","1",0
0,71908,0,65,"39","1","1","1",0
400,31975,0,50,"41","7","1","1",0
0,35496,0,54,"37","1","1","1",0
165,44581,0,49,"37","1","1","1",0
0,50903,0,67,"39","1","1","1",5116
2600,15730,0,48,"37","4","1","2",7194
2002,6000,0,33,"42","5","1","2",0
300,30368,0,29,"39","1","1","1",0
0,55175,0,37,"37","1","1","1",0
1100,26279,0,38,"40","7","1","2",0
0,157700,0,26,"44","1","4","1",0
0,10800,0,62,"39","7","1","1",0
0,93485,0,50,"43","1","1","2",0
2000,54346,0,52,"43","1","1","1",0
0,9912,0,34,"39","7","1","1",0
