"tax","income","csp","age","educ","marital","race","sex","ss"
0,17600,0,19,"40","7","1","1",0
0,22292,8400,45,"39","5","1","2",0
1200,15480,0,50,"39","4","1","2",0
2375,73100,0,58,"39","1","1","1",0
638,15052,0,89,"39","4","1","2",7266
0,68800,0,62,"33","1","1","1",0
0,34500,0,28,"44","7","1","1",0
0,16516,600,35,"39","5","2","2",0
0,32300,3120,31,"42","5","1","2",0
0,16200,0,17,"37","7","1","2",0
450,16332,0,70,"39","1","1","1",10546
247,75050,0,42,"43","1","1","1",0
1146,63649,0,51,"44","1","1","1",0
520,32700,0,66,"41","1","1","1",13098
0,30938,0,29,"39","7","1","1",0
700,68709,0,40,"39","7","1","1",0
1200,12201,0,66,"33","5","1","2",16000
0,32000,0,33,"45","7","1","2",0
727,80012,0,44,"41","1","1","1",0
0,1000,0,73,"39","1","1","1",0
641,100404,0,70,"43","4","1","2",20190
0,57883,0,76,"39","4","1","1",7746
360,16800,0,70,"43","1","1","1",8694
666,49029,0,25,"39","1","1","1",0
151,42000,0,38,"39","1","1","2",0
1880,79041,0,34,"40","1","1","2",0
0,4628,0,27,"36","7","1","2",0
1200,52001,0,31,"43","5","1","1",0
0,10218,0,29,"43","7","1","1",0
5000,57626,0,48,"40","1","1","1",0
215,24000,0,48,"40","5","1","2",0
1200,197887,0,24,"43","2","1","2",0
349,9294,0,64,"37","5","1","2",0
0,68828,0,62,"33","1","1","1",0
560,39017,0,31,"43","6","1","2",0
600,81492,0,51,"44","1","1","1",0
1240,80214,0,59,"43","1","1","1",0
125,114500,0,70,"43","1","1","2",5670
560,22386,0,50,"40","7","1","1",0
1700,43600,0,49,"39","5","1","2",0
0,32538,0,50,"40","5","1","2",0
0,38200,0,28,"40","1","1","1",0
1600,34074,0,41,"35","6","1","1",0
300,12193,0,34,"39","5","1","2",6306
1800,45000,0,46,"39","1","1","2",0
597,60488,0,65,"43","1","1","2",0
0,11000,0,23,"43","7","2","2",0
1000,25000,0,39,"42","1","1","2",0
400,67380,0,45,"39","1","1","1",0
247,75050,0,44,"41","1","1","1",0
0,101000,0,36,"36","1","1","1",0
7200,50696,0,53,"42","1","1","2",0
