tax,income,csp,age,educ,marital,race,sex,ss
526,14428,0,64,38,5,1,1,14516
0,16309,0,86,39,1,1,1,12400
0,10524,0,49,35,1,1,2,2
2940,166660,0,36,42,1,1,1,0
1023,62131,0,48,35,1,1,1,0
11,6736,1,43,34,5,1,2,5874
1080,52714,0,41,41,1,1,1,5
2316,138211,0,50,44,1,1,1,0
466,12984,0,54,35,7,1,2,5316
1837,62035,0,40,40,1,1,1,1
395,33771,0,24,39,1,1,2,0
512,27258,0,49,38,1,1,1,0
0,28994,0,76,38,6,1,2,12208
1360,21808,0,40,40,1,1,1,1
425,29126,0,71,36,4,1,2,12478
0,7703,1,39,38,6,1,1,0
529,99545,0,46,43,1,1,1,0
1418,91708,0,34,35,1,1,2,1
417,96217,0,42,40,5,1,2,0
1218,22082,0,31,34,1,1,1,1
1,2183,0,29,38,6,2,1,2
1519,49405,0,48,39,1,1,1,6
1465,45489,0,47,32,1,1,2,2
0,68693,0,30,40,5,1,2,2
383,32751,0,37,38,5,1,2,0
1240,42837,0,53,39,1,1,1,2
3,9945,0,77,38,1,2,2,5633
1331,60636,0,43,41,1,1,2,3
303,11723,1,62,38,7,1,2,0
6,17724,0,54,39,7,1,2,2
2563,133506,0,39,39,1,1,1,5
4,40731,0,36,42,1,2,1,0
6,30909,0,29,39,7,1,1,0
2202,68656,1,57,42,1,1,2,10781
1159,96688,0,34,42,1,1,1,0
2013,27062,0,48,34,1,1,1,2
2,13030,0,25,39,7,2,2,7
1057,9718,0,57,32,5,1,1,7664
756,104879,0,35,40,1,2,1,0
5,15703,0,47,35,6,1,2,1
1553,49303,0,34,41,1,1,1,5
0,16131,0,24,38,7,2,2,4
388,51188,0,49,39,1,1,1,3
1891,60782,0,69,42,1,1,1,2746
578,154096,0,35,43,1,1,2,3
6,48633,0,54,38,1,1,1,0
1486,55331,0,63,39,7,1,1,6107
2203,114727,0,41,40,1,1,1,0
1,28056,0,22,39,1,2,1,3
1130,71684,0,45,40,1,1,2,0
7,70788,0,25,33,7,1,1,0
4636,31445,1,55,39,1,1,2,0
2,27142,0,24,41,1,1,1,3
1307,64365,0,69,43,4,1,1,10617
1033,32592,0,56,34,1,1,1,0
0,86903,0,57,39,5,1,2,2565
2250,43729,0,47,39,1,1,1,0
6,11539,0,48,39,5,1,2,1
6,98496,0,31,39,1,1,1,0
1873,158480,0,36,43,1,1,1,7
676,30056,0,48,39,1,2,1,3
1580,29202,0,47,43,1,1,1,4
445,51470,0,62,45,5,1,1,0
1323,29705,0,67,38,1,1,1,12167
732,19432,0,71,33,1,1,1,16409
1836,74064,1,70,39,5,1,2,8419
386,41265,0,49,40,1,1,2,1
582,26278,0,68,35,5,1,2,10680
363,8569,0,35,38,5,1,2,0
199,43702,0,48,39,5,1,2,0
2,41116,0,36,40,7,1,2,4
6125,62836,0,77,39,5,2,1,8321
0,79235,0,69,38,5,1,1,6702
868,30808,0,40,38,1,1,2,0
1211,80178,0,39,42,7,1,1,5
0,158875,0,73,45,1,1,2,5393
270,328311,0,34,35,5,4,1,3
3,84286,0,47,36,1,1,1,5
1191,106472,0,42,43,1,1,1,1
2971,47076,0,47,40,1,1,1,6
1,16326,1,49,38,1,1,2,3
6,34287,0,36,39,5,1,2,0
400,90803,0,71,39,1,1,1,12887
9375,71071,0,61,42,1,1,2,0
794,15249,0,53,40,4,2,2,5
4,30555,0,48,38,1,1,2,5
8,17361,0,24,43,7,1,2,3
6,31672,0,40,39,1,1,1,0
390,105043,0,49,43,1,1,1,6
617,27634,0,64,40,1,1,2,6
463,40913,0,62,38,5,1,2,6
3,52804,0,49,39,1,1,2,0
1,104631,0,48,35,1,1,2,0
0,30313,0,25,39,6,1,1,1
48,28898,1,29,40,1,4,1,5
3,84607,1,62,39,1,1,2,0
